generation,occupancy,unique_genomes,mean_fitness,entropy
275,1.0,16,0.54425048828125,3.9637287365581546
276,1.0,16,0.5443115234375,3.9639592966426838
277,1.0,16,0.54339599609375,3.9653895963898265
278,1.0,16,0.54168701171875,3.9667281543320274
279,1.0,16,0.54302978515625,3.9650329453613224
280,1.0,16,0.54229736328125,3.9660547792262717
281,1.0,16,0.541748046875,3.9665581685880076
282,1.0,16,0.54168701171875,3.9669753588027548
283,1.0,16,0.5408935546875,3.9673746269742445
284,1.0,16,0.54156494140625,3.9675948518960964
285,1.0,16,0.5400390625,3.970105041465233
286,1.0,16,0.5396728515625,3.9706116733069674
287,1.0,16,0.5386962890625,3.972180450167868
288,1.0,16,0.54010009765625,3.9704516698781367
289,1.0,16,0.5400390625,3.9711977127560223
290,1.0,16,0.540771484375,3.9696357076297684
291,1.0,16,0.5406494140625,3.969771201130928
292,1.0,16,0.5413818359375,3.968539697318251
293,1.0,16,0.54150390625,3.9674058891847612
294,1.0,16,0.54144287109375,3.968705967161712
295,1.0,16,0.54010009765625,3.9694819297817405
296,1.0,16,0.54010009765625,3.9683669488722844
297,1.0,16,0.5396728515625,3.9695972753429007
298,1.0,16,0.53973388671875,3.96955381275854
299,1.0,16,0.5399169921875,3.9700553633153244
300,1.0,16,0.5416259765625,3.96994877816556
301,1.0,16,0.54119873046875,3.9710722388494455
302,1.0,16,0.5440673828125,3.9686407020030066
303,1.0,16,0.54461669921875,3.9683634145620665
304,1.0,16,0.545654296875,3.9669072143671285
305,1.0,16,0.54608154296875,3.9661082728520736
306,1.0,16,0.54534912109375,3.96691477313433
307,1.0,16,0.54656982421875,3.9663286228393457
308,1.0,16,0.54656982421875,3.965852803016614
309,1.0,16,0.54730224609375,3.9649199035377256
310,1.0,16,0.54779052734375,3.9619404878887563
311,1.0,16,0.54669189453125,3.9621774951982327
312,1.0,16,0.54534912109375,3.9651215668632718
313,1.0,16,0.5443115234375,3.965839538632644
314,1.0,16,0.54443359375,3.966303323306481
315,1.0,16,0.54266357421875,3.967458558488214
316,1.0,16,0.54241943359375,3.9665841312469343
