treatment,cost,replicate,generation,population,mean_d,std_d,mean_alpha,maladaptation,trait_variance,trait_env_corr
moving,1.0,1,0,900,3.351111111111111,1.6769843598584566,0.4923330978142465,0.2082882377475954,0.08432928304812921,0.005356116915119347
moving,1.0,1,20,900,2.3022222222222224,1.3130945449397835,0.493913341282846,0.09619326904229367,0.09078138588706906,0.5614862697004105
moving,1.0,1,40,900,2.121111111111111,1.0644763391185403,0.4921681247317108,0.15484288513471095,0.09788421354218017,0.3078383961888915
moving,1.0,1,60,900,2.2533333333333334,1.0275321027696518,0.4909852775398224,0.14208354572484883,0.09984385904268403,0.3707683756781582
moving,1.0,1,80,900,2.3455555555555554,0.9795306258170696,0.48324205246070756,0.13054065354748942,0.09839195142278605,0.4198892258638332
moving,1.0,1,100,900,2.13,0.8893130932229536,0.4832523789780871,0.15133193164908088,0.0846647307173481,0.2848785638211336
moving,1.0,1,120,900,1.9844444444444445,0.7193996125027701,0.4995812738048796,0.13835118792525006,0.0818010121358655,0.33846137057029996
moving,1.0,1,140,900,2.0011111111111113,0.6691610741890749,0.49064581499442345,0.14767229698502857,0.0826745638481891,0.29554904901012163
moving,1.0,1,160,900,2.0233333333333334,0.6398871428271985,0.468266730012994,0.1452840752702092,0.08843604865709012,0.3288886403202307
moving,1.0,1,180,900,1.998888888888889,0.7063197960704398,0.5096441643945208,0.15030429463902617,0.07750581996073569,0.26564653027361307
moving,1.0,1,200,900,1.8955555555555557,0.6056972311332364,0.49161031073809797,0.13625309339256148,0.08019282099305876,0.3446354914094561
moving,1.0,2,0,900,3.4766666666666666,1.7161034674841462,0.49021435044386763,0.1974969610625851,0.08298746135141098,0.05196982836171542
moving,1.0,2,20,900,2.4788888888888887,1.4097276682981832,0.4977251544300987,0.09857340937866654,0.09247571173715027,0.5529811430187299
moving,1.0,2,40,900,2.21,1.148578832006464,0.5157556875439114,0.1288189470983377,0.09175243531446989,0.41170373984599146
moving,1.0,2,60,900,2.1166666666666667,1.0092626571468455,0.4901205603772964,0.15083211309888075,0.08633861907778889,0.2916852858586988
moving,1.0,2,80,900,2.0477777777777777,0.8346293625553238,0.46968826864407964,0.14900300526838153,0.08383023755513065,0.2967102664765121
moving,1.0,2,100,900,1.9055555555555554,0.7866752981321824,0.4961877693685738,0.14448976511177294,0.0766248640230958,0.2919735953210015
moving,1.0,2,120,900,1.96,0.770685120886316,0.5119151011068028,0.1440941277731715,0.07134885059144294,0.2774120873902735
moving,1.0,2,140,900,1.9355555555555555,0.6668851493841619,0.4977418439938889,0.13900529472246542,0.07502459338794529,0.31507698137904466
moving,1.0,2,160,900,1.8855555555555557,0.6576154078877395,0.49081487725073036,0.1311875312378262,0.08454578126604494,0.38152332857550586
