treatment,period,cost,evolvable_plastic,replicate,generation,population,mean_d,std_d,mean_plastic,std_plastic,maladaptation,trait_variance,trait_env_corr
moving,90,0.0,True,0,40,900,4.322222222222222,1.4600439702494332,2.2089848256508358,1.2993209079686598,0.11612879840731555,0.1060781980133702,0.49975901446300036
moving,90,0.0,True,0,60,900,4.748888888888889,1.3313522319176465,2.1378402706482134,1.202166111395319,0.11563862405262919,0.10885520186862757,0.5075118840291771
moving,90,0.0,True,0,80,900,5.098888888888889,1.1480412734009606,2.1965242274303267,1.187381239378125,0.12442064272858455,0.11522909600785704,0.48255277696577575
moving,90,0.0,True,0,100,900,5.293333333333333,0.9857653540946412,2.230955533480433,1.2110896348969946,0.11986401371225407,0.12396819365432567,0.518657254064058
moving,90,0.0,True,0,120,900,5.402222222222222,0.9489149098696045,2.2422043042491144,1.1397906832563636,0.09656859957165685,0.11813634616477932,0.6036061875557511
moving,90,0.0,True,0,140,900,5.454444444444444,0.9316247588798962,2.4268418256892823,1.1976224466159096,0.11171576637356452,0.12022964928634035,0.544735883999503
moving,90,0.0,True,0,160,900,5.654444444444445,0.7568444888131998,2.5852422812102667,1.2872428411759285,0.11257632973177586,0.11909452472860196,0.5389727117885003
moving,90,0.0,True,0,180,900,5.697777777777778,0.6198526308330209,2.486458256430965,1.2974713949830265,0.12859826623382595,0.12075575794208933,0.4770186211243404
moving,90,0.0,True,0,200,900,5.761111111111111,0.5007093733326847,2.429749800591271,1.3133967483914213,0.12133666371635889,0.10997417285298555,0.48501135897039854
moving,90,0.0,True,1,0,900,3.448888888888889,1.7341821283593564,2.546892878244502,1.4507495848298677,0.21056596197106994,0.08078653546275014,-0.022733334321302742
moving,90,0.0,True,1,20,900,4.184444444444445,1.6382179417560283,2.2502908129743315,1.5022485293823964,0.08018291215213065,0.10644269504456177,0.6559813910547923
moving,90,0.0,True,1,40,900,4.7444444444444445,1.3246476354203374,2.0834229130172917,1.5365458061484343,0.10413996343306621,0.11024978333476194,0.5611645764253272
moving,90,0.0,True,1,60,900,5.094444444444444,1.066131231354347,2.089233627082074,1.5071410475509142,0.11324957469944542,0.11841721324355463,0.5350019673256617
moving,90,0.0,True,1,80,900,5.345555555555555,0.9234790632423203,2.0337042266972483,1.3153726795302196,0.13156099919119413,0.12302487748574185,0.4696009664469344
moving,90,0.0,True,1,100,900,5.595555555555555,0.8033141230221921,1.9451815708853863,1.2773438299717532,0.11694252221829164,0.1125389334505059,0.5087846971546235
moving,90,0.0,True,1,120,900,5.752222222222223,0.6052965807084029,1.9302054201561103,1.250298620562239,0.11454274991963373,0.10952021921052278,0.5127212440315587
moving,90,0.0,True,1,140,900,5.7411111111111115,0.5106410882289578,2.128238626840644,1.2497841140301575,0.1143364379485018,0.11229143303477515,0.520877504396654
moving,90,0.0,True,1,160,900,5.683333333333334,0.5257270098529168,2.223571848025377,1.1971949786860538,0.11268513678930077,0.11529241528230069,0.5315069393917731
moving,90,0.0,True,1,180,900,5.6,0.6359594676112971,2.2303381801968025,1.2065470474163424,0.11487849245372417,0.11670852931798,0.5250471426069718
moving,90,0.0,True,1,200,900,5.614444444444445,0.7158617357362789,2.056343773069907,1.213553536496838,0.11833441553406093,0.1155452563409729,0.5090296884493481
moving,90,0.0,True,2,0,900,3.4655555555555555,1.6885010519597363,2.478462288583861,1.4538817714572614,0.20096317623411802,0.08313144333862701,0.03544934520302528
moving,90,0.0,True,2,20,900,4.136666666666667,1.5485441191289608,2.6101958072321305,1.5171307581916593,0.08863440118189783,0.10644708751474138,0.6190361734501221
moving,90,0.0,True,2,40,900,4.5744444444444445,1.3695141970065405,2.681738507836261,1.5109599603391268,0.11362617035174896,0.1171795813885553,0.533687904010888
moving,90,0.0,True,2,60,900,4.918888888888889,1.2503683407917527,2.5609069324253864,1.4843080097424979,0.10939755262060154,0.11721556883027728,0.5510560702875662
moving,90,0.0,True,2,80,900,5.232222222222222,1.0113058420541432,2.519761990150047,1.4716837575889925,0.12284334997990928,0.11893976999782682,0.49662971812479434
moving,90,0.0,True,2,100,900,5.406666666666666,0.7952358140828417,2.3083757691098543,1.359960026806135,0.11577878031934476,0.1127547446714703,0.5147023660251301
moving,90,0.0,True,2,120,900,5.426666666666667,0.7602338821412498,2.137261940421772,1.197865722464483,0.10267390590784933,0.12234089185485507,0.5859048113007979
moving,90,0.0,True,2,140,900,5.398888888888889,0.8108972320754674,2.2315693292115726,1.1506323775788638,0.12251589127760863,0.12043958671276941,0.5012418273816398
moving,90,0.0,True,2,160,900,5.452222222222222,0.6871402538019888,2.267502621596147,1.0523725679908196,0.12143607610249355,0.11956618504764152,0.5045006388016259
moving,90,0.0,True,2,180,900,5.348888888888889,0.6851187154946123,2.275262349587206,1.0447239653146148,0.11660128253266004,0.11887399069722109,0.5224818778821408
moving,90,0.0,True,2,200,900,5.263333333333334,0.7322643724168965,2.0634663155878443,1.0654461246406626,0.11691260366933794,0.11361921738264306,0.5106324586052996
moving,90,0.0,True,3,0,900,3.5277777777777777,1.7101999738677591,2.5742242859689215,1.4504263970128664,0.20503860575927832,0.08479539723225744,0.023107429072068322
moving,90,0.0,True,3,20,900,4.081111111111111,1.5052053713286246,2.2969617554476107,1.487266361346667,0.07844842825914719,0.10245813348482945,0.6586530384793006
moving,90,0.0,True,3,40,900,4.485555555555556,1.3633342388840604,2.035780814657356,1.522514919140927,0.10413820721807042,0.10556685691847963,0.5503788855527265
moving,90,0.0,True,3,60,900,4.912222222222222,1.1907353262937783,1.8636965828454348,1.4866590017754937,0.11497275579406215,0.10592142320652083,0.5039402495286878
moving,90,0.0,True,3,80,900,5.114444444444445,1.0494507675828566,1.7421989253172478,1.4082229857986424,0.11278536433086488,0.10966399157043576,0.5210019549245458
moving,90,0.0,True,3,100,900,5.378888888888889,0.9090892199759841,1.529208016616483,1.4007002199319933,0.12666104048674273,0.10689946275913907,0.45520144095835824
moving,90,0.0,True,3,120,900,5.495555555555556,0.8685762438370189,1.4812463131776636,1.3787478639343902,0.11013922964915338,0.11162194544014138,0.5360185952198164
