treatment,bias,replicate,generation,population,mean_d,std_d,mean_alpha,std_alpha,mean_beta,std_beta,mean_p_base,std_p_base,maladaptation,trait_variance,trait_env_corr
static,0.0,1,80,900,1.6155555555555556,0.8634441513318252,2.34347207923442,1.384392517683299,1.3341532838605759,0.4500284827882309,0.5107638948297617,0.16709877430834214,0.018044760373478193,0.11532961990657463,0.925724072055632
static,0.0,1,100,900,1.5222222222222221,0.7261432025553114,2.248784678933744,1.361629567868159,1.356511557313769,0.426499098923744,0.5652824733600829,0.1703338644729723,0.017407303570899858,0.11355558791586147,0.9281331133983803
static,0.0,1,120,900,1.4966666666666666,0.6641535966928133,2.1673497000706763,1.3051496168274752,1.367807433213591,0.42227270988955085,0.6191199259270637,0.17170666730415607,0.01885967124924758,0.1124137735215878,0.9220555215176338
static,0.0,1,140,900,1.4366666666666668,0.6176928398843914,2.2349261076399243,1.2873573700453673,1.3490475032304292,0.4289833637545999,0.6578548416228052,0.17376166999018308,0.01635604212419803,0.11407229083382708,0.9332449364695199
static,0.0,2,0,900,3.5744444444444445,1.7410125477313554,2.421707836642878,1.4599200192531663,1.003774335123048,0.570624896306683,0.2438885257495379,0.14612660698847554,0.2105923243576184,0.08338215032808671,-0.010812720636201659
static,0.0,2,20,900,3.0522222222222224,1.4470450947267812,2.180844659371337,1.516933216698011,1.2505607667395204,0.5317397287034538,0.3373204394190206,0.15886680296956024,0.05307264347244809,0.09855456865999317,0.7680067490838864
static,0.0,2,40,900,2.5477777777777777,1.158996479505513,2.165143092200968,1.4780500382838269,1.2469697848794914,0.5581349316078359,0.37797776555533813,0.149724978897067,0.02250086414339391,0.10878659187795267,0.9059409098867639
static,0.0,2,60,900,2.236666666666667,0.9629757121663153,2.0821056059908454,1.494529612362644,1.2160793666811578,0.5696867411760598,0.4094747954092644,0.15603811208565585,0.018617963067120363,0.10976285971886268,0.9229137774292835
static,0.0,2,80,900,2.0166666666666666,0.864580823289529,1.9657730518448875,1.4357634879824264,1.1785095018082064,0.562010551289508,0.46322762983784993,0.16540833358054224,0.02032528789227809,0.11239854725522368,0.915783765082758
static,0.0,2,100,900,1.9122222222222223,0.7483801437145248,1.7732672033943087,1.3520626932625264,1.1615941617435293,0.5539015525433074,0.4920548990109163,0.1614137926369242,0.020232022043056633,0.11394228848831678,0.9163160790516717
static,0.0,2,120,900,1.9044444444444444,0.737700799196939,1.5497057540614785,1.2480357315244135,1.1132238567580137,0.5681484950789417,0.530939713857481,0.16838762728765955,0.01859390360022922,0.12035181074440868,0.925089741499289
static,0.0,2,140,900,1.8544444444444443,0.7210580360539814,1.5579683052232465,1.2599155080345472,1.1149484840462314,0.5731049490757409,0.5884590375900413,0.18263507196306866,0.017638901304992488,0.12227486437856734,0.9287238799722766
static,0.15,0,0,900,3.4988888888888887,1.7508724456646332,2.4772634647674714,1.4540523316401512,0.985481023286782,0.5621918764412646,0.2423281934085455,0.14384883555745012,0.22018543941447838,0.0872506901739089,-0.03794470063829401
static,0.15,0,20,900,2.598888888888889,1.3969008908170373,2.1802594585385124,1.4306194678302888,1.2014782799890484,0.5233307487364797,0.3155671336228978,0.16504733259808962,0.045836447247152405,0.10358857016195698,0.8030313475476264
static,0.15,0,40,900,2.1344444444444446,1.0856294754771039,2.0769242331102307,1.429709297240388,1.2783265488496758,0.5308629060127712,0.3795082078761266,0.17684724797414916,0.019244179092032434,0.10733748054161539,0.9199416115178679
static,0.15,0,60,900,1.9622222222222223,0.8671252348072371,2.038716682186722,1.4592633089216234,1.3124243846072887,0.5297432250275304,0.41518169918320413,0.19069886855219526,0.018254967935898453,0.11062733327221906,0.924310089353139
static,0.15,0,80,900,1.9122222222222223,0.864140906434153,2.0605468068285093,1.4761685210798774,1.3353319957033525,0.5296537416578954,0.46403768922471167,0.20635319990471246,0.015972082087604512,0.11217189117055454,0.9340492424927225
