generation,population,mean_A_affinity,mean_B_affinity,genotype_richness,lineage_richness
130,330,0.5171717171717172,0.6959595959595959,15,330
131,326,0.5173824130879346,0.6871165644171778,15,326
132,324,0.5174897119341564,0.6810699588477365,15,324
133,313,0.516506922257721,0.6826411075612353,15,313
134,316,0.5327004219409283,0.6729957805907172,16,316
135,311,0.5284030010718113,0.6655948553054661,15,311
136,315,0.5291005291005291,0.6645502645502644,15,315
137,328,0.5406504065040649,0.6626016260162602,15,328
138,325,0.5282051282051282,0.6666666666666666,15,325
139,320,0.5395833333333333,0.6625,15,320
140,325,0.5661538461538461,0.6430769230769231,15,325
141,326,0.5511247443762781,0.6523517382413089,15,326
142,332,0.5461847389558232,0.6636546184738955,15,332
143,344,0.5329457364341085,0.6656976744186046,16,344
144,352,0.5388257575757576,0.649621212121212,16,352
145,353,0.5401322001888574,0.6487252124645891,16,353
146,358,0.553072625698324,0.6443202979515829,16,358
147,349,0.5348615090735435,0.6485195797516715,16,349
148,350,0.5295238095238095,0.6647619047619048,16,350
149,357,0.5294117647058824,0.6629318394024276,16,357
150,352,0.5473484848484849,0.6590909090909091,16,352
151,346,0.5635838150289018,0.6551059730250481,16,346
152,340,0.572549019607843,0.6490196078431372,16,340
153,337,0.5756676557863502,0.6488625123639961,16,337
154,337,0.5766567754698317,0.6419386745796241,16,337
155,341,0.5718475073313783,0.6363636363636364,16,341
156,343,0.5636540330417881,0.6608357628765792,16,343
157,351,0.5641025641025641,0.6638176638176639,16,351
158,357,0.5564892623716153,0.657329598506069,16,357
159,365,0.558904109589041,0.6621004566210046,16,365
160,362,0.5570902394106814,0.6629834254143646,16,362
161,357,0.5630252100840336,0.6610644257703081,15,357
162,362,0.567219152854512,0.6574585635359116,14,362
163,352,0.5814393939393939,0.6534090909090909,14,352
164,362,0.585635359116022,0.6611418047882136,14,362
165,364,0.5851648351648351,0.6529304029304029,14,364
166,376,0.5833333333333334,0.6604609929078015,14,376
167,393,0.5725190839694656,0.657336726039016,14,393
168,401,0.5635910224438903,0.6641729010806319,14,401
169,418,0.569377990430622,0.6435406698564593,14,418
170,414,0.5805152979066023,0.6368760064412238,15,414
171,426,0.5852895148669797,0.637715179968701,15,426
172,413,0.5803066989507668,0.6384180790960451,15,413
173,409,0.5859820700896495,0.6291768541157295,15,409
174,410,0.5894308943089431,0.6178861788617885,15,410
175,412,0.5833333333333333,0.6173139158576052,15,412
176,428,0.5848909657320873,0.616822429906542,15,428
177,427,0.5886026541764247,0.624512099921936,15,427
178,430,0.5976744186046512,0.6224806201550388,15,430
179,416,0.5825320512820512,0.6290064102564101,15,416
180,423,0.5949566587864461,0.6264775413711584,15,423
181,425,0.5937254901960785,0.6156862745098038,15,425
182,430,0.6046511627906976,0.6100775193798449,15,430
183,435,0.5992337164750957,0.6,16,435
184,428,0.5903426791277259,0.5919003115264797,16,428
185,422,0.5971563981042655,0.5995260663507109,16,422
186,421,0.5954077593032462,0.5977830562153603,16,421
187,429,0.5897435897435898,0.6029526029526029,16,429
188,425,0.5796078431372549,0.6094117647058823,16,425
189,424,0.5762578616352201,0.6053459119496856,16,424
190,424,0.5778301886792452,0.613993710691824,16,424
191,442,0.5663650075414782,0.6153846153846154,16,442
192,438,0.5677321156773212,0.6057838660578386,16,438
193,438,0.558599695585997,0.6133942161339421,16,438
194,427,0.5581576893052304,0.6120218579234972,16,427
195,417,0.5555555555555556,0.5987210231814547,16,417
196,405,0.5481481481481482,0.6,16,405
197,407,0.5405405405405406,0.6093366093366094,16,407
198,421,0.5510688836104513,0.5969912905779889,16,421
199,429,0.5710955710955711,0.5982905982905982,16,429
200,432,0.5733024691358024,0.5941358024691357,16,432
201,438,0.571537290715373,0.6012176560121765,16,438
202,408,0.5751633986928105,0.6078431372549019,16,408
203,407,0.565929565929566,0.610974610974611,16,407
204,409,0.5582722086389568,0.6169519152404237,16,409
205,398,0.5561139028475711,0.6214405360134003,16,398
206,372,0.5555555555555556,0.6129032258064516,16,372
207,384,0.5555555555555555,0.5998263888888888,16,384
208,404,0.5635313531353136,0.5882838283828382,16,404
209,393,0.5530110262934691,0.5937234944868532,16,393
210,392,0.53656462585034,0.6079931972789115,16,392
211,386,0.5518134715025906,0.5941278065630397,16,386
212,375,0.5333333333333333,0.6106666666666667,16,375
213,386,0.5345423143350604,0.6070811744386874,16,386
214,376,0.5425531914893617,0.5975177304964538,16,376
215,384,0.5338541666666666,0.5980902777777777,16,384
216,381,0.5468066491688538,0.600174978127734,16,381
217,382,0.5584642233856894,0.5907504363001745,16,382
218,384,0.5625,0.5989583333333334,16,384
219,388,0.5678694158075601,0.5884879725085911,16,388
220,398,0.5753768844221105,0.5804020100502513,16,398
221,395,0.5476793248945148,0.5822784810126583,16,395
222,393,0.5487701441899916,0.5886344359626803,16,393
223,395,0.5451476793248945,0.5890295358649789,16,395
224,394,0.527072758037225,0.5964467005076142,16,394
225,393,0.5267175572519084,0.5996607294317218,16,393
226,381,0.5293088363954506,0.5914260717410323,16,381
227,380,0.543859649122807,0.5807017543859648,16,380
228,378,0.5511463844797178,0.5811287477954145,16,378
229,376,0.5620567375886524,0.5877659574468085,16,376
230,381,0.5634295713035871,0.5861767279090112,16,381
231,391,0.5660699062233588,0.5839727195225916,16,391
232,386,0.5734024179620034,0.5872193436960276,16,386
233,386,0.5785837651122625,0.5803108808290155,16,386
234,387,0.5624461670973298,0.587424633936262,16,387
235,383,0.5535248041775457,0.5900783289817232,16,383
236,393,0.5436810856658185,0.6123833757421543,15,393
237,401,0.5361596009975063,0.6101413133832086,15,401
238,394,0.550761421319797,0.5972927241962774,16,394
239,403,0.5624483043837883,0.5847808105872621,16,403
240,420,0.5595238095238095,0.592857142857143,16,420
241,416,0.5641025641025641,0.579326923076923,16,416
242,410,0.5642276422764227,0.5845528455284553,16,410
243,416,0.5657051282051282,0.5825320512820512,16,416
244,416,0.5448717948717949,0.5937499999999999,16,416
245,408,0.542483660130719,0.6045751633986928,16,408
246,407,0.5421785421785422,0.6044226044226044,16,407
247,417,0.5547561950439648,0.595523581135092,16,417
248,423,0.5484633569739952,0.6170212765957447,16,423
249,418,0.5510366826156301,0.6076555023923446,16,418
250,412,0.5428802588996764,0.6076051779935274,16,412
251,412,0.5258899676375405,0.6221682847896439,16,412
252,412,0.529126213592233,0.6173139158576052,16,412
253,406,0.5377668308702791,0.6083743842364532,16,406
254,409,0.5378973105134474,0.6104319478402608,16,409
255,411,0.5539334955393349,0.600162206001622,16,411
256,413,0.552865213882163,0.5988700564971751,16,413
257,417,0.5403677058353317,0.601119104716227,16,417
258,410,0.5414634146341464,0.5943089430894309,16,410
259,411,0.551500405515004,0.5831305758313057,16,411
260,398,0.5443886097152429,0.5871021775544389,16,398
261,392,0.552721088435374,0.5807823129251701,16,392
262,392,0.5442176870748299,0.5790816326530612,16,392
263,389,0.5544130248500428,0.5612682090831191,16,389
264,387,0.5503875968992248,0.5633074935400517,16,387
265,383,0.545691906005222,0.5718015665796344,15,383
266,390,0.5521367521367521,0.5794871794871795,14,390
267,379,0.5576077396657871,0.5681618293755496,14,379
268,386,0.535405872193437,0.5854922279792746,14,386
269,386,0.5440414507772021,0.575993091537133,15,386
270,384,0.5434027777777778,0.5772569444444445,15,384
271,393,0.5351993214588635,0.5750636132315522,15,393
272,382,0.5314136125654451,0.575043630017452,15,382
273,388,0.5283505154639175,0.5902061855670103,15,388
274,382,0.512216404886562,0.6047120418848168,15,382
275,391,0.5038363171355499,0.6035805626598465,16,391
276,391,0.5191815856777494,0.5950554134697357,16,391
277,387,0.5305770887166237,0.5934539190353144,16,387
278,385,0.5238095238095237,0.5904761904761904,16,385
279,395,0.5097046413502109,0.5957805907172995,16,395
280,385,0.5125541125541125,0.5913419913419913,16,385
281,380,0.5210526315789473,0.5885964912280701,16,380
282,371,0.5256064690026954,0.5840071877807727,16,371
283,373,0.5129579982126898,0.6005361930294906,16,373
284,389,0.5132819194515853,0.5998286203941732,16,389
285,387,0.5228251507321275,0.5882859603789837,16,387
286,396,0.5252525252525253,0.585016835016835,16,396
287,393,0.5292620865139949,0.5826972010178118,16,393
288,396,0.5412457912457912,0.569023569023569,16,396
289,389,0.5389888603256212,0.5569837189374464,16,389
290,387,0.5434969853574504,0.5701981050818259,16,387
291,397,0.5524769101595298,0.5659109991603695,16,397
292,393,0.5504664970313825,0.5623409669211197,16,393
293,406,0.5426929392446634,0.5673234811165845,16,406
294,406,0.5541871921182266,0.568144499178982,16,406
295,404,0.5478547854785478,0.5651815181518152,16,404
296,411,0.5515004055150041,0.5620437956204379,16,411
297,407,0.5487305487305487,0.5601965601965602,16,407
298,406,0.5459770114942529,0.5550082101806241,15,406
299,402,0.5613598673300166,0.5323383084577115,15,402
300,385,0.561038961038961,0.5229437229437229,15,385
