treatment,replicate,generation,population,mean_d,std_d,mean_alpha,maladaptation,trait_variance,trait_env_corr
static,1,200,900,4.242222222222222,1.2170983506117032,0.4860047824856811,0.020364170482195753,0.12300352197303362,0.9187071161874071
static,2,0,900,3.3733333333333335,1.72516021800231,0.49898789133150256,0.20408333922337019,0.08246389622190609,0.016653400013225912
static,2,20,900,3.7333333333333334,1.6289055630494154,0.5065213255962738,0.04859406729878365,0.09475971611421029,0.7865523339283985
static,2,40,900,3.9677777777777776,1.554229196438456,0.5020713055268059,0.02251711086677164,0.10913764011105674,0.9059293275339046
static,2,60,900,3.8844444444444446,1.4966563556520183,0.4978284519463821,0.019058107317820917,0.12172750224220569,0.9228567456800996
static,2,80,900,3.81,1.4284840449464835,0.5034984519149892,0.017367239983716885,0.12358522840903213,0.9301999721828169
static,2,100,900,4.055555555555555,1.3821168234198753,0.49899809631812914,0.018263781310650817,0.11954798595558476,0.9255503136517254
static,2,120,900,4.072222222222222,1.310769729567561,0.49534148945455264,0.02045656230120757,0.1207384107777974,0.9169809330232926
static,2,140,900,4.183333333333334,1.2809501681694466,0.5020932657590227,0.018551860143387194,0.12567487336714755,0.9260131783883997
static,2,160,900,4.2811111111111115,1.2736120501632306,0.49299543989338823,0.019864033855002863,0.12885002005023058,0.9220482684909189
static,2,180,900,4.161111111111111,1.2345214497433987,0.49619797347035494,0.020575418689412525,0.12256472377812716,0.9169914875292221
static,2,200,900,4.184444444444445,1.239794885464806,0.4989619941940321,0.01927957573374263,0.12210432268073046,0.9220456618253472
