A,sigma_e,rho,cue_noise,replicate,generation,population,active,bank,mean_z,std_z,mean_d,mean_h0,mean_hb,mean_h_eff,corr_h_cue,maladaptation
0.0,0.0,0.0,0.3,0,90,2592,592,2000,0.49975927331336617,0.08642895485439306,3.964527027027027,0.7230028154978236,0.5199124898504589,0.7264242512721935,0.026916534403858917,0.007470022186560372
0.0,0.0,0.0,0.3,0,100,2596,596,2000,0.4963107567771087,0.08713552465548782,4.028523489932886,0.7358154728457036,0.5261462767961225,0.7394713230216083,0.07792257563073464,0.007606210172544774
0.0,0.0,0.0,0.3,1,0,300,300,0,0.5230574987815616,0.28292821274442126,3.013333333333333,0.5036920867744065,0.49123479796407615,0.5395008638801515,0.07141257242873789,0.08058002181681422
0.0,0.0,0.0,0.3,1,10,2230,600,1630,0.4987819380662891,0.10721033655205282,3.4833333333333334,0.286887150178139,0.5401468451065142,0.2930681440214864,0.19702015464919934,0.01149553993847879
0.0,0.0,0.0,0.3,1,20,2592,595,1997,0.49754262354745943,0.09508205790178838,3.480672268907563,0.40113597561163156,0.5775190451660506,0.4060810703471689,0.14140533537562913,0.009046636433868537
0.0,0.0,0.0,0.3,1,30,2590,590,2000,0.49383409976260617,0.09296863005942903,3.4135593220338984,0.5178789942503459,0.6129483875142637,0.5228887574364949,0.0322454394506959,0.008681184500864464
0.0,0.0,0.0,0.3,1,40,2597,597,2000,0.4959267707856239,0.09251017084844787,3.4974874371859297,0.5940588080161412,0.6339318467922233,0.5990956775759602,0.11252735480793698,0.008574722906641859
0.0,0.0,0.0,0.3,1,50,2588,588,2000,0.5050698034642153,0.09783202139342334,3.598639455782313,0.6180949836265424,0.639446736651529,0.6239773495917661,0.15241716325541543,0.00959680731708901
0.0,0.0,0.0,0.3,1,60,2589,589,2000,0.5174711115217763,0.09979749891687889,3.601018675721562,0.639678884266916,0.651688403237831,0.6460439647637403,0.15406498059172885,0.010264780527870785
0.0,0.0,0.0,0.3,1,70,2591,591,2000,0.5065735680143387,0.08953696118331196,3.5076142131979697,0.6469999426880996,0.6349111595698905,0.652100313700877,0.07645368260827493,0.00806007921438105
0.0,0.0,0.0,0.3,1,80,2593,593,2000,0.5081984896076945,0.08884819945289144,3.418212478920742,0.6630833458366305,0.6174145742300859,0.6680057920212459,0.0291846608461679,0.007961217777868254
0.0,0.0,0.0,0.3,1,90,2590,590,2000,0.5019030694380398,0.08428342968214933,3.58135593220339,0.6759116532478227,0.628964026322917,0.6802411209609568,-0.01996333031754734,0.007107318192271811
0.0,0.0,0.0,0.3,1,100,2589,589,2000,0.516078104001011,0.0889102562776856,3.3786078098471988,0.6737964634276038,0.6164289521784301,0.6785950652381526,0.04077951611762339,0.008163539099631058
0.0,0.0,0.0,0.3,2,0,300,300,0,0.48008618591857327,0.28254934858438313,3.026666666666667,0.5105618090979046,0.49614340144276525,0.5471977571012281,0.16654602617691372,0.08023069437672888
0.0,0.0,0.0,0.3,2,10,2390,597,1793,0.5075157857218828,0.1048538402366833,3.5879396984924625,0.3302163465821966,0.4644982706764453,0.33500252348092935,0.06949303339968044,0.011050814847397162
0.0,0.0,0.0,0.3,2,20,2600,600,2000,0.5128447902723499,0.09646799163347233,3.5,0.5473403332285361,0.4011544615009668,0.5512756299185683,0.028208515408412224,0.009471062046936339
0.0,0.0,0.0,0.3,2,30,2591,591,2000,0.5151853612539626,0.09015921655991464,3.4686971235194584,0.6117808824933794,0.4399343968886991,0.6154695386460522,0.09376419983942329,0.008359279527110942
0.0,0.0,0.0,0.3,2,40,2598,598,2000,0.5149639913528571,0.09308004017034072,3.5434782608695654,0.6443016607406111,0.4202280929865642,0.6480514350267276,0.024656390347654124,0.008887814915320626
0.0,0.0,0.0,0.3,2,50,2597,597,2000,0.5165910837855645,0.09477566637042842,3.579564489112228,0.6760088642798026,0.4504828577868156,0.6803821408412011,0.10146246913815601,0.009257690997138376
0.0,0.0,0.0,0.3,2,60,2594,594,2000,0.5101136943394149,0.08729617580571505,3.644781144781145,0.6991155266075043,0.45695899578821925,0.7023350957749446,0.019328081738430456,0.007722909123493423
0.0,0.0,0.0,0.3,2,70,2597,597,2000,0.51521554598163,0.08314770784538103,3.6850921273031827,0.7273357265902415,0.43291085660939926,0.7304970996702643,0.06720508113844027,0.007145054159459935
0.0,0.0,0.0,0.3,2,80,2596,596,2000,0.5096731953979017,0.0855998231505862,3.6895973154362416,0.7198960674694507,0.44516210538012124,0.723533409278723,0.09251946361103298,0.007420900432617621
0.0,0.0,0.0,0.3,2,90,2592,592,2000,0.5095355907006233,0.09321542691241151,3.6739864864864864,0.7368583782310976,0.4299239231845349,0.7403477625462693,0.13670775583764141,0.008780043304472945
