A,sigma_e,rho,cue_noise,population_mean,population_std,active_mean,active_std,bank_mean,bank_std,mean_d_mean,mean_d_std,mean_h0_mean,mean_h0_std,mean_hb_mean,mean_hb_std,mean_h_eff_mean,mean_h_eff_std,corr_h_cue_mean,corr_h_cue_std,maladaptation_mean,maladaptation_std
0.0,0.8,0.8,0.0,2547.0,31.10868046060456,571.0555555555555,4.25680283433127,1975.9444444444443,27.85893699282824,3.8165160305936325,0.29344778523647935,0.4261051934535945,0.0795102664304659,0.3195207809209733,0.07986257775851682,0.4989702846126562,0.055457386025717384,0.3953942948937679,0.061720484140011404,0.2481443927086442,0.02609394435367685
0.0,0.8,0.8,0.3,2545.055555555555,21.430983109438355,567.5,8.298259523003106,1977.5555555555557,14.338500360658196,3.4632571715214993,0.5276700850356271,0.36321538446231877,0.08658965330197556,0.4398123512034269,0.13147224017700207,0.47345455523530866,0.06151776718607166,0.5763299208688042,0.11652515608645214,0.25989596592078573,0.01846015641238094
0.75,0.0,0.0,0.0,2582.3333333333335,2.9059326290271983,587.0,1.8333333333333712,1995.3333333333333,3.253203549323827,4.27100797759074,0.040175139762218225,0.4959644276306407,0.04382460513730433,0.5861741385466599,0.025602264594561646,0.5540010196101184,0.03614673253127022,0.51403883715898,0.062095722897635264,0.110597103108048,0.005573112798324291
0.75,0.0,0.0,0.3,2576.8888888888887,13.750084174826524,586.0555555555555,1.7347216662217606,1990.8333333333333,13.137097599292401,3.73163035003488,0.46938416976956193,0.41426793345743446,0.051713813824402044,0.6536666949133485,0.0796648199668431,0.47828201399902587,0.05484059058245625,0.5995181702106513,0.09581227109356537,0.1088507319862138,0.006034062483987381
0.75,0.0,0.8,0.0,2583.3333333333335,3.905124837953327,588.1666666666666,0.44095855184401966,1995.1666666666667,3.609401304617984,3.994057044961206,0.25026457045248546,0.4973563332122912,0.017680290113042472,0.5797249257078055,0.10956170228945118,0.5507628407649289,0.028690701378840167,0.5075305194701742,0.07390135834334535,0.1031938198760457,0.003327524473532249
0.75,0.0,0.8,0.3,2576.555555555555,4.537906190369214,585.1666666666666,2.5221243250702843,1991.388888888889,2.016138590180509,4.005240384332296,0.4426351040710185,0.4155050605925819,0.020629118528804776,0.550450250383547,0.02006937817359997,0.4717227441467005,0.0201740468663851,0.5405357560241447,0.039428443206288924,0.1097335414687467,0.012116654222706608
0.75,0.4,0.0,0.0,2557.0,15.995659133374522,578.2777777777778,2.2750661366048415,1978.7222222222224,16.418429121411595,3.4706001948618987,0.41150808927395277,0.444036309727406,0.028764479479180052,0.35166132706912573,0.02429017518259467,0.5005708696970897,0.02926054973923056,0.3530899784674009,0.07418412505792443,0.17791285841490734,0.0019385172700057348
0.75,0.4,0.0,0.3,2558.1111111111113,2.9922740021100367,577.0,4.53688586293872,1981.111111111111,7.493206800038764,3.3756996703013606,0.2993333820573771,0.37281724559979995,0.07930530334877717,0.5685297635150025,0.2136291451417945,0.4672584457104074,0.04778861380533839,0.570954509041015,0.16477190864515073,0.1780548596660042,0.006985733676550819
0.75,0.4,0.8,0.0,2568.9444444444443,4.571449239371311,579.3888888888889,4.491762006821581,1989.5555555555557,8.531531927915312,3.5924387190042673,0.24202761242047136,0.44648336909055725,0.044866067859255454,0.4375912273933256,0.036776655601919415,0.5052551364360792,0.03852092245023055,0.4215122697421174,0.04550450193155553,0.15051878967998997,0.0076738394823353566
0.75,0.4,0.8,0.3,2576.722222222222,4.06315877849496,584.7222222222222,4.347200035442081,1992.0,1.5275252316519219,3.901252219374401,0.5987308978780216,0.3994148054497333,0.03461129240685126,0.48775040699280997,0.17123600080225,0.4680693006182257,0.013132244314790055,0.5180483775303605,0.18065143523921337,0.14281620846177817,0.016210412036303596
