A,sigma_e,rho,cue_noise,replicate,population,active,bank,mean_d,mean_h0,mean_hb,mean_h_eff,corr_h_cue,maladaptation
1.5,0.0,0.0,0.0,0,2588.8333333333335,592.8333333333334,1996.0,4.110095429689206,0.49490056786537595,0.37371894151692975,0.5350495568490826,0.4823722191512047,0.12229361586611627
1.5,0.0,0.0,0.0,1,2585.8333333333335,587.6666666666666,1998.1666666666667,3.4680059554449287,0.4890650563197448,0.6581615541944678,0.547795625891682,0.5337397749571763,0.11573319000739907
1.5,0.0,0.0,0.0,2,2588.5,594.1666666666666,1994.3333333333333,4.277948332053836,0.4519097846196729,0.5575474925972876,0.515278195039973,0.5653595756567915,0.12432945886043041
1.5,0.0,0.0,0.3,0,2588.3333333333335,592.1666666666666,1996.1666666666667,4.167480287868784,0.41753645928025224,0.5166260240484583,0.48439909112618834,0.6031499719931527,0.13689334481719648
1.5,0.0,0.0,0.3,1,2586.6666666666665,589.5,1997.1666666666667,3.6279350998465865,0.46306060449095837,0.3568060507327086,0.5012064669250799,0.5021636372745836,0.11324378059924732
1.5,0.0,0.0,0.3,2,2574.8333333333335,589.8333333333334,1985.0,3.8528062473436315,0.36893525582222436,0.6524988464372864,0.4436163535059751,0.6577268218005837,0.13311341346639768
1.5,0.0,0.8,0.0,0,2584.0,593.3333333333334,1990.6666666666667,4.398991803581094,0.4947659055045508,0.3292601661638527,0.5324535918984357,0.4541245028143767,0.12840985359557486
1.5,0.0,0.8,0.0,1,2583.3333333333335,592.5,1990.8333333333333,4.199634823636101,0.47791249041442657,0.5519424264155743,0.5289063442996204,0.5197718385440546,0.12532345337527764
1.5,0.0,0.8,0.0,2,2585.6666666666665,588.1666666666666,1997.5,3.5803260681376714,0.4814771136389176,0.6632351146411005,0.544531470962343,0.7152896939617696,0.11828523096297093
1.5,0.0,0.8,0.3,0,2586.0,589.8333333333334,1996.1666666666667,4.363676773743589,0.44993040922884947,0.5160709348669967,0.5115674869699559,0.6751317542747031,0.12684418389514127
1.5,0.0,0.8,0.3,1,2575.6666666666665,588.6666666666666,1987.0,3.7104929278253955,0.3932597698652796,0.3573691882719759,0.43476470885346385,0.4815040037891057,0.12442914894986594
1.5,0.0,0.8,0.3,2,2573.1666666666665,591.6666666666666,1981.5,3.9754498643949083,0.3878750970842632,0.5483861912118569,0.4475559823602708,0.5784530686900289,0.12735362630403563
1.5,0.4,0.0,0.0,0,2574.8333333333335,588.1666666666666,1986.6666666666667,3.738911012985214,0.47595356209013434,0.25102921049689325,0.5074152212122109,0.3390838241096669,0.14255512991375152
1.5,0.4,0.0,0.0,1,2580.5,587.5,1993.0,3.881767994986068,0.41454017109163566,0.40051378602286736,0.4709136155195572,0.5069296554481236,0.14322018994451688
1.5,0.4,0.0,0.0,2,2589.3333333333335,591.5,1997.8333333333333,3.6581094527021283,0.4547855713800912,0.6022146840130255,0.5205963914991196,0.6730151602580187,0.13044894711411284
1.5,0.4,0.0,0.3,0,2575.5,587.3333333333334,1988.1666666666667,3.796222093185756,0.4071186745241964,0.43750779693705827,0.463510122242009,0.5269754942082673,0.13539604296279686
1.5,0.4,0.0,0.3,1,2583.6666666666665,588.3333333333334,1995.3333333333333,3.8395836771984726,0.4373215976746488,0.5502760609589983,0.49380375606162646,0.6311988760899259,0.12023153536175891
1.5,0.4,0.0,0.3,2,2578.8333333333335,585.1666666666666,1993.6666666666667,3.4827953210710443,0.491483285611596,0.46676408354910254,0.5400372235505614,0.43784751436767705,0.1363356118654652
1.5,0.4,0.8,0.0,0,2582.8333333333335,594.0,1988.8333333333333,4.001461431271047,0.43392729713629974,0.54479792992594,0.5033713325816609,0.5072065040384389,0.159453464418686
1.5,0.4,0.8,0.0,1,2575.5,590.5,1985.0,3.575176724261839,0.4441863757070665,0.35567168569528446,0.4974559013234828,0.5439937556196809,0.14361701080603603
1.5,0.4,0.8,0.0,2,2583.3333333333335,590.1666666666666,1993.1666666666667,3.932300346635932,0.45882117386944704,0.5409294765958305,0.5257533615443802,0.7209262494750813,0.13530346517980674
1.5,0.4,0.8,0.3,0,2571.1666666666665,583.8333333333334,1987.3333333333333,3.3982504658473656,0.41120759340819796,0.3191540215980396,0.4455470670846073,0.4116857044370498,0.11683315344222112
1.5,0.4,0.8,0.3,1,2584.6666666666665,588.6666666666666,1996.0,4.081858326260868,0.4908725640929085,0.4741669406220261,0.5408226612032804,0.5343189328850039,0.12329244591850368
1.5,0.4,0.8,0.3,2,2584.5,588.5,1996.0,4.02835291765919,0.4898871486286766,0.2979976588234576,0.5267406959192661,0.4784406106712209,0.13248199776266664
1.5,0.8,0.0,0.0,0,2564.1666666666665,575.0,1989.1666666666667,3.4297727882759363,0.4487675562768378,0.4446493211996178,0.524044039487866,0.5199914390380789,0.20977269063339807
1.5,0.8,0.0,0.0,1,2557.5,583.6666666666666,1973.8333333333333,3.79563966567691,0.37503565490455054,0.610627220193135,0.4824015887135547,0.7170172510927464,0.2112827172142487
1.5,0.8,0.0,0.0,2,2539.3333333333335,584.5,1954.8333333333333,3.770243775862171,0.42080761849498893,0.4384333955275519,0.4991506176202425,0.40664511665691433,0.21246148996235834
1.5,0.8,0.0,0.3,0,2581.5,586.1666666666666,1995.3333333333333,3.572470752571817,0.4040145905921582,0.5001261494607814,0.4977590856361882,0.7572844334765776,0.19389304925604586
1.5,0.8,0.0,0.3,1,2568.1666666666665,584.3333333333334,1983.8333333333333,3.5563005463935298,0.4149908809588565,0.1664343265665399,0.4483476045824661,0.34299190616004943,0.1953655347572076
1.5,0.8,0.0,0.3,2,2564.6666666666665,589.0,1975.6666666666667,3.6879902752898706,0.37748747718099446,0.2490789998909948,0.4269115679154212,0.46041240267375133,0.2289886314913154
1.5,0.8,0.8,0.0,0,2582.1666666666665,588.0,1994.1666666666667,3.7473608048175486,0.4167088925471231,0.567092687295447,0.5019572815191891,0.5362159038561377,0.19293118958332753
1.5,0.8,0.8,0.0,1,2576.8333333333335,583.6666666666666,1993.1666666666667,3.490301496383647,0.47965524410881083,0.5295137878309721,0.5477575805526093,0.6035970246285373,0.15970205260261425
1.5,0.8,0.8,0.0,2,2583.3333333333335,590.5,1992.8333333333333,3.684130460703653,0.4694649786474268,0.3814313971052264,0.5099126728711777,0.25663167944223714,0.1591699304579121
1.5,0.8,0.8,0.3,0,2576.8333333333335,584.3333333333334,1992.5,3.4669297578724407,0.3572260424829521,0.737824242846091,0.4653057893649119,0.7662576252403296,0.16418297321705413
1.5,0.8,0.8,0.3,1,2575.3333333333335,587.0,1988.3333333333333,3.8489795469134513,0.3636400308559869,0.49395835887332,0.46226206632453737,0.6122826000987179,0.21825118975028138
1.5,0.8,0.8,0.3,2,2579.8333333333335,585.3333333333334,1994.5,3.1157662131240085,0.3708715092979961,0.4432890945609425,0.4310101748737152,0.5571122388910622,0.14173763611328136
