treatment,period,cost,replicate,generation,population,mean_d,std_d,mean_alpha,maladaptation,trait_variance,trait_env_corr
moving,30.0,0.5,0,0,900,3.457777777777778,1.6935812008730546,0.5013106725870803,0.20740961260961197,0.08283385063505104,0.0020930311820191298
moving,30.0,0.5,0,20,900,3.201111111111111,1.4600604587515809,0.5011430776953273,0.22358459473267825,0.09169539372256458,-0.03216827088122987
moving,30.0,0.5,0,40,900,3.017777777777778,1.2968832533576438,0.5286613037193487,0.19078114926852616,0.0822523687383007,0.08527138992122182
moving,30.0,0.5,0,60,900,2.7755555555555556,0.9869494089376968,0.5192929805720089,0.1958033078119343,0.08319610908634983,0.06258712500183972
moving,30.0,0.5,0,80,900,2.7844444444444445,0.9476181968037445,0.4993370813388707,0.21130473493952054,0.0883873311559499,0.009908700371002695
moving,30.0,0.5,0,100,900,2.6166666666666667,0.8924062353485037,0.5166469597663673,0.18287135122024115,0.08713655675345346,0.14153358215770023
moving,30.0,0.5,0,120,900,2.551111111111111,0.8823257705814214,0.5144272888060517,0.20574351851966532,0.08631999872436351,0.027844193011272476
moving,30.0,0.5,0,140,900,2.672222222222222,0.8194209036166643,0.4855012473475281,0.21996514239575665,0.08745701149158173,-0.03489929112560886
moving,30.0,0.5,0,160,900,2.4788888888888887,0.8567372791189249,0.4990006994699377,0.17732668155445752,0.08508650112485523,0.15883251202144003
moving,30.0,0.5,0,180,900,2.4466666666666668,0.8630952052545149,0.5113716452384379,0.2061488029058617,0.08235231300678544,0.006568255484432753
moving,30.0,0.5,0,200,900,2.438888888888889,0.7885562679063054,0.49588527845398767,0.1995176793073082,0.09193277995665436,0.08130697534757679
moving,30.0,0.5,1,0,900,3.433333333333333,1.709125832439236,0.5051101555503124,0.21386473865967592,0.08621897501236134,-0.012617021235575974
moving,30.0,0.5,1,20,900,2.9155555555555557,1.4649923102650753,0.5049845564664157,0.2278640141304916,0.09760638147808856,-0.023686938703148978
moving,30.0,0.5,1,40,900,2.7888888888888888,1.2489501764321411,0.5116516611275919,0.21421404710829006,0.10306103355018646,0.06159710070400125
moving,30.0,0.5,1,60,900,2.6744444444444446,1.0726976493465343,0.5317877813413472,0.19395609194196073,0.0914100499121948,0.10975589794912156
moving,30.0,0.5,1,80,900,2.5455555555555556,0.989462380522441,0.5100050970651927,0.2108387708889304,0.094560175015014,0.04056986874137778
moving,30.0,0.5,1,100,900,2.577777777777778,0.915032212885035,0.5015246381760825,0.20185232930832714,0.10500634045186812,0.12288061327969872
moving,30.0,0.5,1,120,900,2.4155555555555557,0.8303829252032676,0.5094204787110371,0.2147716379547096,0.09229658314455882,0.012166799842799465
moving,30.0,0.5,1,140,900,2.48,0.8059776671843955,0.5017489120095954,0.20971588680210654,0.09133118412427656,0.0309710249961046
moving,30.0,0.5,1,160,900,2.5366666666666666,0.8536132353446468,0.523194260034727,0.2126266602736833,0.09201307101951234,0.022958429993617722
moving,30.0,0.5,1,180,900,2.42,0.7417996135525192,0.48277429507755526,0.20155414938510263,0.07923263915764642,0.01494793653863123
moving,30.0,0.5,1,200,900,2.4844444444444442,0.8305167215001501,0.5164836948642875,0.19857348026589236,0.09109002690060052,0.08335142379360269
moving,30.0,0.5,2,0,900,3.511111111111111,1.7064872590887101,0.4946917604310919,0.2112089281350449,0.0801954930352843,-0.029889790459167353
moving,30.0,0.5,2,20,900,2.9922222222222223,1.612088209454349,0.4997805267113606,0.2184307141265011,0.0840280922390914,-0.045872191980931884
moving,30.0,0.5,2,40,900,2.632222222222222,1.2628299593266068,0.4960364757321637,0.19421156575187506,0.08335530133880521,0.06935768983024611
moving,30.0,0.5,2,60,900,2.7744444444444443,1.1912702008184477,0.481834795442799,0.20417317553084235,0.08814600328699944,0.04431262544877399
moving,30.0,0.5,2,80,900,2.6933333333333334,1.143755995734133,0.4875073251187256,0.18873867904959923,0.08024927296363474,0.08320377719304663
moving,30.0,0.5,2,100,900,2.678888888888889,1.0111593395091316,0.5096004956647703,0.1909691905044902,0.08182292141173007,0.07883635833683716
moving,30.0,0.5,2,120,900,2.7266666666666666,0.9561264444506163,0.49025945373475216,0.1979062159807765,0.0842559052664203,0.05575890150969791
moving,30.0,0.5,2,140,900,2.6055555555555556,0.8425966625868329,0.5137229001677743,0.18906825014697606,0.07741605594018423,0.06880084846309295
moving,30.0,0.5,2,160,900,2.591111111111111,0.7912921141250829,0.5037992283493591,0.20285599806562737,0.08594518730536287,0.03909160170239674
moving,30.0,0.5,2,180,900,2.6955555555555555,0.8462874624711171,0.49228349284911105,0.18017244899864826,0.08492386805507213,0.1446692159451547
moving,30.0,0.5,2,200,900,2.5277777777777777,0.8833682732432944,0.48491666444962567,0.1973130643163128,0.08279937458501282,0.05265573811832609
moving,30.0,1.0,0,0,900,3.5533333333333332,1.7244773765469417,0.4954673793222147,0.21165242369297535,0.08319977389021453,-0.016827302813166568
moving,30.0,1.0,0,20,900,2.6755555555555555,1.4342098956189635,0.5060608087011835,0.23474001653250073,0.09031576838193678,-0.09123371267688912
moving,30.0,1.0,0,40,900,2.438888888888889,1.1914691626022464,0.48912106575327435,0.18428908573170327,0.08747122107736935,0.13532446083055216
