treatment,condition,replicate,generation,bias,population,mean_d,std_d,mean_alpha,std_alpha,mean_beta,std_beta,mean_p_base,std_p_base,maladaptation,trait_variance,trait_env_corr
static,neg_const,365289374,55,-0.3,900,1.971111111111111,0.7740577705176568,1.9833009067096512,1.3384792439540567,1.2018373752561824,0.6035560348173759,0.5416937877860766,0.18528508412420777,0.016717853381585865,0.11626744319675636,0.9313789957962005
static,neg_const,365289374,60,-0.3,900,1.9655555555555555,0.7363062634395058,1.9006565646108147,1.2963521664933269,1.214476388474821,0.6018846953502605,0.5591381128573673,0.18748110832773815,0.016881791502727717,0.11662567193681743,0.9307132429411141
static,neg_const,365289374,65,-0.3,900,1.9055555555555554,0.6707973880408816,1.8924338004468397,1.2891936197589178,1.220872472220947,0.6034090821624056,0.5792369538545671,0.1928450384015558,0.017258059044316255,0.11734724142110524,0.9292784764786107
static,neg_const,365289374,70,-0.3,900,1.8933333333333333,0.6512893195637234,1.884108985641769,1.269731606796454,1.225457342753507,0.5971826581673835,0.5831102813959915,0.18971362221280721,0.017335202276287168,0.11749281151987152,0.9291495795545072
static,neg_const,365289374,75,-0.3,900,1.8988888888888888,0.6252100881471665,1.864032935538574,1.2970273817387765,1.2715695763438468,0.5913866264444055,0.6009861657735366,0.19200656109961375,0.016882457099412697,0.12082722277676419,0.9316560035684154
static,neg_const,365289374,80,-0.3,900,1.9111111111111112,0.6244009474767608,1.834631324449104,1.307555420266706,1.2901323444399775,0.585015908936405,0.6156639055992784,0.19427679076031146,0.016513876327179516,0.12322556959931082,0.9334961553925235
static,neg_const,365289374,85,-0.3,900,1.9077777777777778,0.633636379738723,1.8715269622052506,1.3371844133704158,1.302411343543635,0.5824176597343049,0.6213632437127684,0.19056811648690608,0.0164919698082721,0.12380838668926608,0.9338274254654647
static,neg_const,365289374,90,-0.3,900,1.9011111111111112,0.6255654232495848,1.8931828531732469,1.3459106375643626,1.3059911900155765,0.595175136793381,0.6435208982897446,0.19087693640028447,0.017774776947653278,0.12456686954783844,0.9288895868752411
static,neg_const,365289374,95,-0.3,900,1.8877777777777778,0.6304015964760132,1.9037484904644781,1.3729107539345826,1.2886119109628327,0.5953635002261228,0.6609217338460683,0.18503551968025705,0.017167455364215788,0.12292327172892872,0.9308025719923645
static,neg_const,365289374,100,-0.3,900,1.88,0.6137679619458083,1.8956950391737473,1.393810491499003,1.294300991654884,0.595451962916792,0.6738166480059489,0.18641155082858613,0.01608154647674181,0.12050901977038043,0.9347266118144422
