treatment,period,base_cost,sigma_noise,c_plast,evolvable_plastic,replicate,generation,population,mean_d,std_d,mean_plastic,std_plastic,maladaptation,trait_variance,trait_env_corr
moving,90,0.6,0.2,0.0,True,0,160,900,2.548888888888889,0.756342727199551,1.3409973194391605,1.0243517884913644,0.1279853247873614,0.09369346932314569,0.42060950604234115
moving,90,0.6,0.2,0.0,True,0,180,900,2.493333333333333,0.7264525678482617,0.9901802144673408,0.8635968802728463,0.1330644559322925,0.09828897128611212,0.40712994757704934
moving,90,0.6,0.2,0.0,True,1,0,900,3.453333333333333,1.648918837703461,2.593687455823951,1.452151316971235,0.1953083457669118,0.08569764663722597,0.07547020023531885
moving,90,0.6,0.2,0.0,True,1,20,900,2.787777777777778,1.4033553266509184,2.161150766337635,1.33795863962707,0.08969410662064922,0.10384596573571654,0.6107740420698573
moving,90,0.6,0.2,0.0,True,1,40,900,2.5722222222222224,1.05846091386165,1.8932742576702246,1.2221583240801583,0.1393173252937227,0.11070860122550095,0.40970581991767735
moving,90,0.6,0.2,0.0,True,1,60,900,2.7744444444444443,1.019374657011849,1.8340710258376969,1.139671967776762,0.13619265489508492,0.10278222274839408,0.407382255017008
moving,90,0.6,0.2,0.0,True,1,80,900,3.037777777777778,1.105901118523088,1.6948025198768077,1.15673068223711,0.13285242997928853,0.11485609018205183,0.44655271721073564
moving,90,0.6,0.2,0.0,True,1,100,900,3.0433333333333334,1.1950406780617226,1.7088496249291352,1.2689722463708353,0.1217284425100141,0.1052317160861112,0.4735253772468913
moving,90,0.6,0.2,0.0,True,1,120,900,2.7666666666666666,1.1780398031381527,1.6865889671539678,1.344077710172157,0.13231666469438388,0.0953076804649576,0.404363251734155
moving,90,0.6,0.2,0.0,True,1,140,900,2.7244444444444444,1.0496889603974346,1.4639208471677654,1.2079196051096819,0.13867034094775638,0.08765287326819422,0.3569841556254185
moving,90,0.6,0.2,0.0,True,1,160,900,2.63,0.9115249737543002,1.1327144763188357,0.8444963253263714,0.11358779037056842,0.08374442915473436,0.46510002614460927
moving,90,0.6,0.2,0.0,True,1,180,900,2.5,0.8076027626390478,1.0067057613534751,0.7119324459135369,0.13295720669108782,0.08389448632818326,0.3722134157202177
moving,90,0.6,0.2,0.0,True,2,0,900,3.537777777777778,1.74537979170264,2.4736663187082826,1.4632815817809113,0.20629135605460633,0.08118416223757982,-0.0003161299172106156
moving,90,0.6,0.2,0.0,True,2,20,900,3.062222222222222,1.5946143928010919,2.3138945629301695,1.479075689162902,0.10420396448115503,0.09974887296001554,0.5398025011958003
moving,90,0.6,0.2,0.0,True,2,40,900,2.723333333333333,1.336708228780271,2.085009021236973,1.4416572735574589,0.12437114970701839,0.10784984622077698,0.46743621858042356
moving,90,0.6,0.2,0.0,True,2,60,900,2.8022222222222224,1.1317614371488736,1.7435724324040214,1.2192027253650415,0.1309787798180068,0.10910109520406272,0.4416989063325875
moving,90,0.6,0.2,0.0,True,2,80,900,2.721111111111111,0.8787610526498776,1.6471579126876315,1.0213414096834081,0.12536892030538374,0.10959971327876135,0.4674230939820518
moving,90,0.6,0.2,0.0,True,2,100,900,2.631111111111111,0.7756924425518781,1.6403810671740824,0.9666280725523708,0.14104243125109728,0.105997525692958,0.39104839107275235
moving,90,0.6,0.2,0.0,True,2,120,900,2.442222222222222,0.7302933623289537,1.5089164002543334,1.0450600932328564,0.1275821821336463,0.09952580381621295,0.4347808025776744
moving,90,0.6,0.2,0.0,True,2,140,900,2.493333333333333,0.7475589906117406,1.1912719216248797,1.0435037879847113,0.13316593178892078,0.09021702250127002,0.3864465416006383
moving,90,0.6,0.2,0.0,True,2,160,900,2.5411111111111113,0.7098347921162822,0.9609102455754126,0.9189398415490514,0.12802272134830384,0.08843373954484239,0.40618681896090775
moving,90,0.6,0.2,0.0,True,2,180,900,2.548888888888889,0.7415066410797898,0.8538735942470155,0.869185922648319,0.1290817818113477,0.10142974184165655,0.43339883220387404
moving,90,0.6,0.2,0.0,True,3,0,900,3.4955555555555557,1.7130162554272579,2.4792230134436046,1.4610504847927048,0.202464080602217,0.088510199887349,0.0535546493209988
moving,90,0.6,0.2,0.0,True,3,20,900,2.9633333333333334,1.4988106395850456,2.2297736220266025,1.3834217382352478,0.09122302189993914,0.10447689571247963,0.6067787322432507
moving,90,0.6,0.2,0.0,True,3,40,900,2.7622222222222224,1.2931939596533657,2.1605026637226796,1.3683550904601254,0.12911642350816108,0.11694428746795436,0.4666005320584999
