A,sigma_e,rho,replicate,generation,population,active,bank,mean_z,std_z,mean_d,mean_h,maladaptation
0.0,0.0,0.8,0,0,300,300,0,0.5253740144606388,0.2851184678447322,2.9266666666666667,0.48268950806442623,0.0819363813159763
0.0,0.0,0.8,0,10,2206,592,1614,0.49556419716708866,0.09468068779353966,3.079391891891892,0.33795087085472175,0.008984108987830194
0.0,0.0,0.8,0,20,2592,592,2000,0.48938960876402954,0.10440222193973825,3.170608108108108,0.5405121084841934,0.01101240434813472
0.0,0.0,0.8,0,30,2598,598,2000,0.5037874499970125,0.09262232625534075,3.729096989966555,0.660013565100071,0.008593240098430653
0.0,0.0,0.8,0,40,2598,598,2000,0.4872636585262809,0.09340619273826853,3.9247491638795986,0.7193004507232496,0.008886931235993746
0.0,0.0,0.8,0,50,2598,598,2000,0.4974849708504593,0.09043999479247064,4.005016722408027,0.7681470739577918,0.008185718029685157
0.0,0.0,0.8,0,60,2595,595,2000,0.5154620446914885,0.08313185021751154,4.047058823529412,0.7931723837122726,0.007149979346628361
0.0,0.0,0.8,0,70,2590,590,2000,0.5099282500325379,0.08576902931916422,4.0288135593220336,0.8103413865893184,0.007454896539060241
0.0,0.0,0.8,0,80,2590,590,2000,0.506651977125502,0.0963408125994029,4.1084745762711865,0.7937447592112766,0.009325800971991472
0.0,0.0,0.8,0,90,2595,595,2000,0.5031497577564316,0.08251593385050861,4.139495798319328,0.7871663703562852,0.006818800313145713
0.0,0.0,0.8,0,100,2597,597,2000,0.5254631349090104,0.08988855323319088,4.013400335008376,0.7873415707136183,0.008728323241750656
0.0,0.0,0.8,1,0,300,300,0,0.49813740429412084,0.28015593425166385,2.9233333333333333,0.502253822207988,0.07849081675918616
0.0,0.0,0.8,1,10,2111,592,1519,0.48865983646712097,0.10570495957381099,3.39527027027027,0.3191446876250049,0.011302137787453453
0.0,0.0,0.8,1,20,2565,596,1969,0.5169470307107782,0.08774215336328181,3.315436241610738,0.5110420706648532,0.007985887326737724
0.0,0.0,0.8,1,30,2598,598,2000,0.501261580592323,0.0872232972863603,3.4615384615384617,0.6331793601773964,0.007609495175095713
0.0,0.0,0.8,1,40,2595,595,2000,0.49346299051620357,0.08477474153997766,3.327731092436975,0.6814972462417735,0.007229489296161258
0.0,0.0,0.8,1,50,2598,598,2000,0.4906692409662936,0.08298015807169362,3.274247491638796,0.6822986706083866,0.006972769697748354
0.0,0.0,0.8,1,60,2598,598,2000,0.5071436136950077,0.08385140667551291,3.3729096989966556,0.7237673344293203,0.0070820896180857525
0.0,0.0,0.8,1,70,2594,594,2000,0.4964034797376346,0.08059962554643309,3.308080808080808,0.7421542965814389,0.006509234596222834
0.0,0.0,0.8,1,80,2593,593,2000,0.4979903752281741,0.08590502809974603,3.288364249578415,0.7633045352296902,0.007383712444541691
0.0,0.0,0.8,1,90,2591,591,2000,0.5014793385409602,0.08595003162720156,3.326565143824027,0.7775505325994017,0.007389596379235719
0.0,0.0,0.8,1,100,2583,583,2000,0.5035691839132064,0.08784184889205604,3.2915951972555746,0.7834686796524784,0.007728929490581097
0.0,0.4,0.0,0,0,300,300,0,0.4952990236630571,0.28497009176201815,2.9066666666666667,0.4839330050681847,0.2104323099148433
0.0,0.4,0.0,0,10,1427,540,887,0.6169972534961066,0.18102436237043937,2.598148148148148,0.16239356008355088,0.11158469113445448
0.0,0.4,0.0,0,20,1792,563,1229,0.5906234800519408,0.1546745479238512,2.5879218472468914,0.2075718059571766,0.15620069424990357
0.0,0.4,0.0,0,30,2146,549,1597,0.5957316095544596,0.1706035314085279,2.7996357012750455,0.2800811089664621,0.2028903385097847
0.0,0.4,0.0,0,40,2368,557,1811,0.6044063837356357,0.2038748272137955,3.0574506283662477,0.3332768577399476,0.15560496154401307
0.0,0.4,0.0,0,50,2456,577,1879,0.6262028322781169,0.1918511686727028,3.0069324090121317,0.38773215113627174,0.13112709783032556
0.0,0.4,0.0,0,60,2486,568,1918,0.6022717827873099,0.17704667018807216,2.98943661971831,0.39800592772680105,0.1583109408822452
0.0,0.4,0.0,0,70,2503,565,1938,0.5751493339935336,0.18797368865800163,3.0743362831858407,0.417709567951176,0.15084569142284027
0.0,0.4,0.0,0,80,2466,542,1924,0.593874809247679,0.1847654208058835,3.2047970479704797,0.43939613907321123,0.19603869470693927
0.0,0.4,0.0,0,90,2571,575,1996,0.6086363722136304,0.19560795929288644,3.213913043478261,0.4808116853258269,0.14652065366598357
0.0,0.4,0.0,0,100,2558,560,1998,0.5848042819262722,0.23373804633665468,3.1232142857142855,0.46548601315133725,0.16703581729490988
0.0,0.4,0.0,1,0,300,300,0,0.4882057881989434,0.28797743149207955,3.0933333333333333,0.4817786259171805,0.22899723698417745
0.0,0.4,0.0,1,10,1650,553,1097,0.4461808189295937,0.20811052502972147,3.146473779385172,0.2125132516163317,0.1320885805978965
