r,epsilon,n,horizon,seed,motif_size,frame_even,motif_even,motif_odd,parity,wall_entropy,max_cluster_lifetime,atlas_score,motif_entropy,transition_entropy,motif_repeat_rate
3.8625,0.132,320,2880,42,4,0.9239699620509642,0.8140767438036735,2.189141856392294e-07,0.8140765248894878,0.13500638954484678,1,0.002017734365302067,0.5863340846885824,0.5315329561951452,2.1708926710663426e-06
3.8625,0.132,320,2880,42,6,0.9239699620509642,0.7549042921976562,0.0,0.7549042921976562,0.13500638954484678,1,0.002017734365302067,0.5774145270516713,0.5602219842953001,0.0
3.8625,0.132,320,2880,73,4,0.9273161420325791,0.8241680625968124,4.039063028297753e-05,0.8241276719665295,0.3550032854482417,0,0.0,0.5653457468345721,0.4967123641746907,3.690517540812782e-05
3.8625,0.132,320,2880,73,6,0.9273161420325791,0.7655838193628912,4.41730584926217e-07,0.7655833776323063,0.3550032854482417,0,0.0,0.5262253883070056,0.4649302010423526,2.1708926710663426e-06
3.8625,0.132,320,2880,101,4,0.9262929304027379,0.8211038023965683,4.482937100311873e-06,0.821099319459468,0.1773213883419587,1,0.0020635740326068997,0.5670361032181589,0.5055932464728051,6.5126780131990274e-06
3.8625,0.132,320,2880,101,6,0.9262929304027379,0.7688451232222501,2.189141856392294e-07,0.7688449043080644,0.1773213883419587,1,0.0020635740326068997,0.5637548134505258,0.5206317137081934,0.0
3.8625,0.132,320,2880,137,4,0.927648337708483,0.8273193531940018,8.822480798095574e-05,0.8272311283860209,0.13185265276989633,1,0.001986896658936433,0.561440708616677,0.4943394494023834,2.3879819381729767e-05
3.8625,0.132,320,2880,137,6,0.927648337708483,0.7739116675567648,1.4355728033963453e-05,0.7738973118287308,0.13185265276989633,1,0.001986896658936433,0.5159677050462403,0.4572898723879948,2.1708926710663426e-06
3.8625,0.132,320,2880,173,4,0.9128125,0.7928125,0.0,0.7928125,0.10637913395834675,2,0.0041060009724836685,0.7892076304277128,0.7288420213140282,0.0
3.8625,0.132,320,2880,173,6,0.9128125,0.7309374999999999,0.0,0.7309374999999999,0.10637913395834675,2,0.0041060009724836685,0.7532029953247713,0.7436732912537899,0.0
3.8625,0.132,320,2880,211,4,0.9161751371914336,0.797155327973468,5.3579248998719555e-05,0.7971017487244693,0.4252073340890151,39,0.06291453285868617,0.593291658693085,0.5324469685260682,1.3025356026398055e-05
3.8625,0.132,320,2880,211,6,0.9161751371914336,0.7342499423570024,3.2400494038900555e-06,0.7342467023075985,0.4252073340890151,39,0.06291453285868617,0.5710761252124371,0.5109600339050105,0.0
3.8625,0.132,320,2880,257,4,0.9199341197669672,0.8086107598624093,3.7871635582601784e-05,0.8085728882268267,0.24335888614952916,1,0.002209870423201393,0.5817085349798445,0.5177560463751464,3.1477943730461966e-05
3.8625,0.132,320,2880,257,6,0.9199341197669672,0.7496722018886487,8.83461169852434e-07,0.7496713184274788,0.24335888614952916,1,0.002209870423201393,0.5452314897243171,0.4790260871993271,4.341785342132685e-06
3.8625,0.132,320,2880,307,4,0.93652841787196,0.8443471858799828,1.3641891013926915e-05,0.8443335439889689,0.2296941976754655,1,0.002062775126153812,0.5547685358388481,0.4737496174689898,6.5126780131990274e-06
3.8625,0.132,320,2880,307,6,0.93652841787196,0.7911566853479819,0.0,0.7911566853479819,0.2296941976754655,1,0.002062775126153812,0.5429874379701983,0.4863215729058611,0.0
3.8625,0.132,320,2880,359,4,0.9125667188842559,0.7939903550176237,2.167583125593063e-05,0.7939686791863678,0.11591549140282995,1,0.002069463060723775,0.61280758260404,0.5421860830446202,6.5126780131990274e-06
3.8625,0.132,320,2880,359,6,0.9125667188842559,0.7336185570201639,0.0,0.7336185570201639,0.11591549140282995,1,0.002069463060723775,0.5997462308850132,0.5457830918027342,0.0
3.8625,0.132,320,2880,401,4,0.9305030796510154,0.8296120029285514,4.045848944076259e-06,0.8296079570796073,0.21430529725540123,0,0.0,0.5527912478957852,0.4908102529561148,3.2563390065995137e-06
3.8625,0.132,320,2880,401,6,0.9305030796510154,0.7740457798657139,0.0,0.7740457798657139,0.21430529725540123,0,0.0,0.5273361439455386,0.4856510021258143,0.0
3.8625,0.132,320,2880,457,4,0.9322028678490263,0.8330545868737553,6.448821333486831e-06,0.8330481380524218,0.20603855086973816,3,0.00618480452618756,0.551271023696399,0.4819925667010001,1.3025356026398055e-05
3.8625,0.132,320,2880,457,6,0.9322028678490263,0.7802299585976273,0.0,0.7802299585976273,0.20603855086973816,3,0.00618480452618756,0.5031712543270564,0.4626024735945773,0.0
3.8625,0.132,480,2880,17,4,0.9105219462639995,0.7861846186818922,1.755067597938077e-05,0.7861670680059127,0.12616054928213724,3,0.00629934678287746,0.5970243738663663,0.5375252810423286,1.3748986916753503e-05
3.8625,0.132,480,2880,17,6,0.9105219462639995,0.7215336037495094,1.2267944202270613e-06,0.7215323769550891,0.12616054928213724,3,0.00629934678287746,0.5557665959353615,0.5015146109581304,7.236308903554475e-07
3.8625,0.132,480,2880,42,4,0.9270909596420897,0.8237064885700105,3.6831548376043467e-06,0.8237028054151729,0.2684944300170491,1,0.0021917596422518985,0.5772173744869289,0.5056270590043174,5.065416232488133e-06
3.8625,0.132,480,2880,42,6,0.9270909596420897,0.7688403106943891,0.0,0.7688403106943891,0.2684944300170491,1,0.0021917596422518985,0.567169619693876,0.5072046451824966,0.0
3.8625,0.132,480,2880,73,4,0.916697581311265,0.8006517216527849,2.587370304855826e-05,0.8006258479497363,0.3608829971794788,2,0.004827957037255384,0.5931320260696401,0.5299113692873559,2.0985295820307977e-05
3.8625,0.132,480,2880,73,6,0.916697581311265,0.7422549411362791,1.4854426619132502e-07,0.7422547925920129,0.3608829971794788,2,0.004827957037255384,0.5581148559178479,0.4971092766321963,7.236308903554475e-07
3.8625,0.132,480,2880,101,4,0.9163716055921599,0.8009751934191867,6.672152045358271e-06,0.8009685212671414,0.1630882884963671,2,0.004229488945373788,0.5912471467039204,0.5370878198685297,1.447261780710895e-06
3.8625,0.132,480,2880,101,6,0.9163716055921599,0.7492886263110254,0.0,0.7492886263110254,0.1630882884963671,2,0.004229488945373788,0.5768084905972242,0.5346815788174895,0.0
3.8625,0.132,480,2880,137,4,0.9186562678691432,0.8094449514560177,5.533613083129579e-05,0.8093896153251864,0.15599314488250948,1,0.0020873824153384837,0.5796744092598765,0.5173496831520884,1.447261780710895e-05
3.8625,0.132,480,2880,137,6,0.9186562678691432,0.7545652487955989,9.570485355975637e-06,0.754555678310243,0.15599314488250948,1,0.0020873824153384837,0.5360296856314765,0.480282814678975,1.447261780710895e-06
3.8625,0.132,480,2880,173,4,0.9121561026263422,0.7901087147210225,8.447445376953612e-06,0.7901002672756455,0.19413694614066718,2,0.0043869755402033295,0.5954926496185127,0.5373687793827605,1.0854463355331712e-05
3.8625,0.132,480,2880,173,6,0.9121561026263422,0.7303286089989836,2.999785267169724e-07,0.7303283090204569,0.19413694614066718,2,0.0043869755402033295,0.5758688300637125,0.5238571066785972,0.0
3.8625,0.132,480,2880,211,4,0.9193226192026829,0.8061728377467915,3.859766974549272e-05,0.806134240077046,0.18572855508642197,3,0.00638247846179518,0.5905325381346993,0.5270414003052664,1.0130832464976265e-05
3.8625,0.132,480,2880,211,6,0.9193226192026829,0.7506417072926335,2.160032935926704e-06,0.7506395472596975,0.18572855508642197,3,0.00638247846179518,0.5709535957588382,0.5106501247249424,0.0
3.8625,0.132,480,2880,257,4,0.9230469338753476,0.8174388814811128,3.068155391321524e-05,0.8174081999271996,0.20920424667918724,1,0.002134977727428509,0.5737376493485978,0.5088541706239704,3.8352437188838715e-05
3.8625,0.132,480,2880,257,6,0.9230469338753476,0.7603751164979485,7.34916903661109e-07,0.7603743815810449,0.20920424667918724,1,0.002134977727428509,0.5268862645994827,0.46493153415206323,5.065416232488133e-06
3.8625,0.132,480,2880,307,4,0.9361648242620637,0.8424648078065765,2.289332106123134e-05,0.8424419144855153,0.3760913880990643,0,0.0,0.54326857386431,0.47168037817269076,1.8814403149241634e-05
3.8625,0.132,480,2880,307,6,0.9361648242620637,0.7899017260262852,5.863726374697839e-07,0.7899011396536477,0.3760913880990643,0,0.0,0.49968554712594243,0.4450723953791514,0.0
3.8625,0.132,480,2880,359,4,0.9060799149216454,0.7794130119346034,1.399133695608228e-05,0.7793990205976473,0.1800647989229968,1,0.0022164274462291404,0.6200629144467397,0.5556766805097108,4.341785342132685e-06
3.8625,0.132,480,2880,359,6,0.9060799149216454,0.7184411693717472,0.0,0.7184411693717472,0.1800647989229968,1,0.0022164274462291404,0.6074683371683824,0.5569911848900679,0.0
3.8625,0.132,480,2880,401,4,0.9265644352251206,0.8233951560131061,5.363697130694971e-06,0.8233897923159754,0.2684577139811739,2,0.004391652552886002,0.5628757659012352,0.502200300897318,6.5126780131990274e-06
3.8625,0.132,480,2880,401,6,0.9265644352251206,0.7687362902508301,1.4854426619132502e-07,0.7687361417065639,0.2684577139811739,2,0.004391652552886002,0.5403829542358751,0.48532210497498524,0.0
3.8625,0.132,480,2880,457,4,0.9211778679856943,0.8140308597965895,1.4620293800267014e-06,0.8140293977672095,0.12351005891091489,1,0.002020369665209078,0.5756331898549637,0.5190827631618553,4.341785342132685e-06
3.8625,0.132,480,2880,457,6,0.9211778679856943,0.7582524624042636,0.0,0.7582524624042636,0.12351005891091489,1,0.002020369665209078,0.5590091300178938,0.5367416188808243,0.0
