r,epsilon,n,horizon,seed,motif_size,frame_even,motif_even,parity,wall_entropy,cluster_lifetime,atlas_score,motif_repeat_rate,transition_entropy
3.8625,0.132,320,2880,173,6,0.9128125,0.7309374999999999,0.7309374999999999,0.10637913395834675,2,0.0041060009724836685,0.0,0.8677402264769111
3.8625,0.132,320,720,211,4,0.9147869101988644,0.7897189768140732,0.7895057463037806,0.6171785491053872,39,0.07058096775331796,5.21557719054242e-05,0.8584345065933523
3.8625,0.132,320,720,211,6,0.9147869101988644,0.7234937700449146,0.7234821084439383,0.6171785491053872,39,0.07058096775331796,0.0,0.891303728958568
3.8625,0.132,320,1440,211,4,0.9157306636085213,0.7946551598379447,0.7945416110903947,0.5794061806020491,39,0.06890841363010276,2.6059763724808894e-05,0.8568037466703217
3.8625,0.132,320,1440,211,6,0.9157306636085213,0.730595854212625,0.7305889076074068,0.5794061806020491,39,0.06890841363010276,0.0,0.8892140331133193
3.8625,0.132,320,2880,211,4,0.9161751371914336,0.797155327973468,0.7971017487244693,0.4252073340890151,39,0.06291453285868617,1.3025356026398055e-05,0.856003204103491
3.8625,0.132,320,2880,211,6,0.9161751371914336,0.7342499423570024,0.7342467023075985,0.4252073340890151,39,0.06291453285868617,0.0,0.8881869010606757
3.8625,0.132,320,720,257,4,0.9147834156688258,0.7935027351595746,0.7933258044598874,0.33292049699579324,3,0.007160905344647017,0.00012604311543810848,0.8140330917211976
3.8625,0.132,320,720,257,6,0.9147834156688258,0.7314320033785644,0.7314282668329172,0.33292049699579324,3,0.007160905344647017,1.7385257301808068e-05,0.8268021123297381
3.8625,0.132,320,1440,257,4,0.9184493718655009,0.8042371449233763,0.804157723284606,0.29535432779317355,1,0.0023001009328454365,6.297776233495482e-05,0.8116927954150386
3.8625,0.132,320,1440,257,6,0.9184493718655009,0.7443862337534648,0.7443844346103229,0.29535432779317355,1,0.0023001009328454365,8.686587908269631e-06,0.8253448278510069
3.8625,0.132,320,2880,257,4,0.9199341197669672,0.8086107598624093,0.8085728882268267,0.24335888614952916,1,0.002209870423201393,3.1477943730461966e-05,0.8105336921299405
3.8625,0.132,320,2880,257,6,0.9199341197669672,0.7496722018886487,0.7496713184274788,0.24335888614952916,1,0.002209870423201393,4.341785342132685e-06,0.8246284681883799
3.8625,0.132,320,720,307,4,0.9339356535410849,0.8369160433649467,0.8368515775327918,0.33453059699594573,3,0.006698728329894892,2.60778859527121e-05,0.8071750960256489
3.8625,0.132,320,720,307,6,0.9339356535410849,0.7810337408072595,0.7810337408072595,0.33453059699594573,3,0.006698728329894892,0.0,0.8437009195593341
3.8625,0.132,320,1440,307,4,0.9357834330453496,0.8422032671615526,0.8421745698493672,0.281398175340768,1,0.0021421132170057816,1.3029881862404447e-05,0.8046721767270688
3.8625,0.132,320,1440,307,6,0.9357834330453496,0.7882352819039562,0.7882352819039562,0.281398175340768,1,0.0021421132170057816,0.0,0.8407350641756625
3.8625,0.132,320,2880,307,4,0.93652841787196,0.8443471858799828,0.8443335439889689,0.2296941976754655,1,0.002062775126153812,6.5126780131990274e-06,0.8034226710801139
3.8625,0.132,320,2880,307,6,0.93652841787196,0.7911566853479819,0.7911566853479819,0.2296941976754655,1,0.002062775126153812,0.0,0.8392603731988278
3.8625,0.132,320,720,359,4,0.9082593980631778,0.7814473565320373,0.781343815104082,0.2066245474701303,1,0.0022420579913575,2.60778859527121e-05,0.8723434341963735
3.8625,0.132,320,720,359,6,0.9082593980631778,0.7164662131448385,0.7164662131448385,0.2066245474701303,1,0.0022420579913575,0.0,0.9034108675024534
3.8625,0.132,320,1440,359,4,0.9112345082597569,0.7900461661798499,0.790000405205561,0.16044506645894438,1,0.0021479996708536632,1.3029881862404447e-05,0.8681673864748628
3.8625,0.132,320,1440,359,6,0.9112345082597569,0.7282042246835548,0.7282042246835548,0.16044506645894438,1,0.0021479996708536632,0.0,0.8977525676104188
3.8625,0.132,320,2880,359,4,0.9125667188842559,0.7939903550176237,0.7939686791863678,0.11591549140282995,1,0.002069463060723775,6.5126780131990274e-06,0.8660781356658294
3.8625,0.132,320,2880,359,6,0.9125667188842559,0.7336185570201639,0.7336185570201639,0.11591549140282995,1,0.002069463060723775,0.0,0.8949361837684751
3.8625,0.132,320,720,401,4,0.9300344160646677,0.826896882332654,0.8268785173862798,0.4443791246995175,0,0.0,1.303894297635605e-05,0.8203501287396208
3.8625,0.132,320,720,401,6,0.9300344160646677,0.7703478783188895,0.7703478783188895,0.4443791246995175,0,0.0,0.0,0.862604629255922
3.8625,0.132,320,1440,401,4,0.9303661318177536,0.8288239635969463,0.8288155570694437,0.31051528779515386,0,0.0,6.514940931202224e-06,0.8210982879551341
3.8625,0.132,320,1440,401,6,0.9303661318177536,0.7729723191138285,0.7729723191138285,0.31051528779515386,0,0.0,0.0,0.8634264455060042
3.8625,0.132,320,2880,401,4,0.9305030796510154,0.8296120029285514,0.8296079570796073,0.21430529725540123,0,0.0,3.2563390065995137e-06,0.8214697787488604
3.8625,0.132,320,2880,401,6,0.9305030796510154,0.7740457798657139,0.7740457798657139,0.21430529725540123,0,0.0,0.0,0.8638335888280837
3.8625,0.132,320,720,457,4,0.9310599917972793,0.8291759118060881,0.829147840168749,0.42266914965100083,3,0.007152489589281401,5.21557719054242e-05,0.8278560807532842
3.8625,0.132,320,720,457,6,0.9310599917972793,0.7751064702294942,0.7751064702294942,0.42266914965100083,3,0.007152489589281401,0.0,0.8687261665204665
3.8625,0.132,320,1440,457,4,0.9318699622752131,0.8319253476170662,0.8319121093780035,0.3072031441177637,3,0.006630897232203534,2.6059763724808894e-05,0.8275294657951168
3.8625,0.132,320,1440,457,6,0.9318699622752131,0.7787375215637493,0.7787375215637493,0.3072031441177637,3,0.006630897232203534,0.0,0.86825096141752
3.8625,0.132,320,2880,457,4,0.9322028678490263,0.8330545868737553,0.8330481380524218,0.20603855086973816,3,0.00618480452618756,1.3025356026398055e-05,0.8273663406538918
3.8625,0.132,320,2880,457,6,0.9322028678490263,0.7802299585976273,0.7802299585976273,0.20603855086973816,3,0.00618480452618756,0.0,0.8680141541194444
