r,epsilon,runs,atlas_score_mean,atlas_score_std,motif_even_mean,motif_odd_mean,frame_even_mean,parity_mean,smooth_mean,resonance_mean,wall_entropy_mean,cluster_lifetime_mean,nearest_atlas_index,parameter_distance,nearest_atlas_score,nearest_class,nearest_parity_index,nearest_smooth_index,nearest_resonance_index,nearest_motif_even_mean,nearest_motif_odd_mean,nearest_frame_even_mean,r_atlas_nearest,epsilon_atlas_nearest,score_difference
3.8675,0.1245,4,0.0253843468928794,0.0081273681035091,0.6682897324449744,0.0007500927621141,0.8961572609178455,0.6675396396828603,4.705182031152236e-18,0.6706322843822844,0.6088473768025426,4.0,13,0.002624880949681285,0.1082542170335034,resonant phase-memory,0.5557622448384949,2.845454684430309e-69,0.7453611111111111,0.5561270833333334,0.0003648384948384,0.8725220238095238,3.865,0.1253,-0.082869870140624
3.8675,0.127,4,0.0,0.0,0.7337449353401974,0.0,0.9078249297745266,0.7337449353401974,6.1061425269691895e-78,0.7514737950221821,0.4721742886759097,0.0,13,0.0030232432915661546,0.1082542170335034,resonant phase-memory,0.5557622448384949,2.845454684430309e-69,0.7453611111111111,0.5561270833333334,0.0003648384948384,0.8725220238095238,3.865,0.1253,-0.1082542170335034
3.8675,0.1295,4,0.0164039669885601,0.0028413880236898,0.6797658161730743,0.0002015289386426,0.8895795201102661,0.6795642872344316,2.5428765195444828e-80,0.7579299665388375,0.4216713034705769,2.5,14,0.002773084924772364,0.056745232396521,resonant phase-memory,0.6985470833333334,2.556408127020124e-127,0.7577777777777777,0.6985504166666667,3.3333333333333333e-06,0.910281488095238,3.865,0.1307,-0.0403412654079609
3.8675,0.132,4,0.0,0.0,0.8245852902138184,1.184865147944488e-05,0.9425069080784808,0.8245734415623389,2.6626002589846927e-14,0.679705710955711,0.3320531548417957,0.0,14,0.002817800560721025,0.056745232396521,resonant phase-memory,0.6985470833333334,2.556408127020124e-127,0.7577777777777777,0.6985504166666667,3.3333333333333333e-06,0.910281488095238,3.865,0.1307,-0.056745232396521
3.8675,0.1345,4,0.0,0.0,0.799043953274548,2.9671073523758585e-05,0.9344938789369232,0.7990142822010242,1.7230711704422148e-36,0.6582692307692307,0.7806660412391796,0.0,15,0.002915475947422605,0.1605361068002391,resonant phase-memory,0.6482644444444444,2.115648560008329e-131,0.7681388888888889,0.64827,5.555555555555556e-06,0.9022009523809522,3.865,0.136,-0.1605361068002391
3.8675,0.137,4,0.0,0.0,0.7472752617845864,0.0005981339556868,0.9262067975707088,0.7466771278288994,2.7365083032566057e-07,0.6245410839160839,0.7596852255240969,0.0,15,0.002692582403567203,0.1605361068002391,resonant phase-memory,0.6482644444444444,2.115648560008329e-131,0.7681388888888889,0.64827,5.555555555555556e-06,0.9022009523809522,3.865,0.136,-0.1605361068002391
3.87,0.122,4,0.011429214925756,0.0033089418590219,0.6459025257336749,0.0,0.8948522408371199,0.6459025257336749,3.132626482530274e-110,0.7524723193473193,0.4473205241957421,2.0,19,0.003448187929913353,0.0345242206323708,resonant phase-memory,0.4647893532856033,2.611517872061323e-52,0.6087500000000001,0.4649708928571429,0.0001815395715395,0.8658802976190476,3.8717,0.119,-0.023095005706614803
3.87,0.1245,4,0.0169616888188253,0.003659428592106,0.630552807743332,0.0001038227979111,0.8859099923933593,0.6304489849454208,1.6069889938730502e-88,0.7777076048951048,0.366229764289017,3.0,13,0.005063595560468759,0.1082542170335034,resonant phase-memory,0.5557622448384949,2.845454684430309e-69,0.7453611111111111,0.5561270833333334,0.0003648384948384,0.8725220238095238,3.865,0.1253,-0.09129252821467809
3.87,0.127,4,0.0,0.0,0.7932668641842029,2.0620581304006283e-05,0.9344179392516084,0.7932462436028989,5.3763837682234205e-14,0.6991647241647242,0.3789911197293671,0.0,13,0.005281098370604259,0.1082542170335034,resonant phase-memory,0.5557622448384949,2.845454684430309e-69,0.7453611111111111,0.5561270833333334,0.0003648384948384,0.8725220238095238,3.865,0.1253,-0.1082542170335034
3.87,0.1295,4,0.0054619494444158,0.0007878531033947,0.7596160595956463,0.0,0.9212634685542952,0.7596160595956463,1.1282406891009671e-117,0.7591244172494171,0.1377651658788091,1.0,14,0.005141984052872874,0.056745232396521,resonant phase-memory,0.6985470833333334,2.556408127020124e-127,0.7577777777777777,0.6985504166666667,3.3333333333333333e-06,0.910281488095238,3.865,0.1307,-0.0512832829521052
