r,epsilon,seed,n,horizon,motif_size,frame_even,frame_odd,motif_even,motif_odd,comp_even,parity,wall_spectral_entropy,max_cluster_lifetime,atlas_score
3.865,0.132,101,80,360,4,0.9329401796120547,0.11168945957874774,0.8333315469812446,6.685633001422475e-05,0.0,0.8332646906512303,0.15154020658802805,3,0.005932857046268078
3.865,0.132,707,80,360,4,0.9022650523199918,0.16242676099408396,0.7621270644677903,0.0,0.0,0.7621270644677903,0.16314061063078303,0,0.0
3.865,0.132,1313,80,360,4,0.8986687558073647,0.13959346524576088,0.7520157461825809,0.0005679777235074655,0.0001612992182548634,0.7514477684590735,0.4124989326815059,0,0.0
3.865,0.1345,101,80,360,4,0.8749290838529751,0.1768847030246305,0.6811323062018627,0.0022948643852021703,0.0004951226528847497,0.6788374418166605,0.5262625033258124,19,0.05533892661286387
3.865,0.1345,707,80,360,4,0.8883192639014211,0.15640159150141436,0.6726761920874824,0.0003084884202281538,2.5240384615384614e-05,0.6723677036672543,0.45433943947343297,108,0.06559255912821028
3.865,0.1345,1313,80,360,4,0.9393145008553274,0.10051521914353057,0.8447874999664314,0.0,0.0,0.8447874999664314,0.7834693115498984,0,0.0
3.865,0.137,101,80,360,4,0.9313946448376893,0.10314264611421604,0.8037771262675497,0.0003181048960243692,0.0,0.8034590213715254,0.7202181864037106,3,0.008436085405459752
3.865,0.137,707,80,360,4,0.8926605499675055,0.17037133335973403,0.712587084622367,0.0009864280720358674,0.0,0.7116006565503311,0.8198854529980044,3,0.01011475604795907
3.865,0.137,1313,80,360,4,0.9083595732224763,0.1323607426935217,0.730066756496192,0.0004903659070144672,8.064516129032258e-06,0.7295763905891776,0.6188388657874567,14,0.040430753416356754
3.8675,0.127,101,80,360,4,0.8967437300602622,0.16125860353341925,0.7164463077245335,0.00037025560768269393,0.0,0.7160760521168509,0.8234616978713805,2,0.006667274282381529
