r,epsilon,order,entropy,sensitivity,domain_wall_density,largest_cluster_fraction,cluster_count,autocorrelation_length,motif_lifetime_proxy,structure_score
3.89,0.775,0.6375909858350358,0.7760181103070393,259043965.1742717,0.12766666666666665,0.34405555555555556,4.596,3.1,0.0,21578383.548830535
3.89,0.8,0.6391501294988384,0.7782614629331249,244632134.9563626,0.12533333333333335,0.3392222222222222,4.512,3.092,0.0,20441313.094436653
3.89,0.8250000000000001,0.6383029048480422,0.768591616331877,234631906.9528823,0.11466666666666665,0.359,4.128,3.328,0.0,19313109.59907063
3.89,0.8500000000000001,0.6450805781654275,0.763214145032251,250802309.01037276,0.11322222222222222,0.3755,4.076,3.388,0.0,21022262.396137726
3.89,0.875,0.6474581171762639,0.7612277251613057,254191074.3810556,0.13233333333333333,0.3401666666666666,4.764,3.104,0.0,21605264.054113887
3.89,0.9,0.6305195312392012,0.7911997495689211,250303958.1891914,0.17733333333333332,0.3284444444444445,6.384,3.552,0.0,23427801.686516885
3.9,0.65,0.637705435219283,0.7689852108583043,249175872.9414333,0.1388888888888889,0.3095,5.0,2.756,0.0,20408287.816559657
3.9,0.675,0.6347521225788295,0.781710212892269,250985437.10848448,0.14155555555555555,0.3097777777777778,5.096,2.768,0.0,20799452.737073433
3.9,0.7000000000000001,0.6320796832228965,0.7809926532284174,248242965.9267357,0.12755555555555556,0.3383888888888889,4.592,3.072,0.0,20355773.084414322
3.9,0.7250000000000001,0.6402621176541359,0.7653160512905655,254533369.3733986,0.13344444444444442,0.3358333333333333,4.804,2.924,0.0,21039079.358716298
3.9,0.75,0.6364317605007861,0.7688829526795155,245458936.47937745,0.1228888888888889,0.3591111111111111,4.424,3.104,0.0,20056975.394414775
3.9,0.775,0.6350122876424209,0.7946984141943569,246842420.85641354,0.14844444444444443,0.29194444444444445,5.344,2.7,0.0,20919694.838045396
3.9,0.8,0.6313859045297949,0.7891071164415407,257949234.41290292,0.129,0.3183888888888889,4.644,3.108,0.0,21367777.670838274
3.9,0.8250000000000001,0.6310130784146172,0.7937120085804443,250560992.08169,0.1328888888888889,0.3202222222222222,4.784,3.164,0.0,21068665.660843242
3.9,0.8500000000000001,0.6409838654067999,0.7684072611385768,247244707.12946898,0.11811111111111111,0.3668888888888889,4.252,3.328,0.0,20659201.07119899
3.9,0.875,0.636359012989852,0.7804360053950706,243845786.67676204,0.13955555555555554,0.33305555555555555,5.024,3.18,0.0,20849713.664496
3.9,0.9,0.6415462504522301,0.7703382080129282,244031510.59940255,0.19022222222222224,0.33194444444444443,6.848,3.288,0.0,23374880.323882002
3.91,0.65,0.6324779278065453,0.7781012146410319,252353642.30012196,0.1383333333333333,0.3113333333333333,4.98,2.832,0.0,20624506.71333962
3.91,0.675,0.6305935625344866,0.7814506517091567,246952164.66912374,0.14055555555555554,0.3256111111111111,5.06,2.852,0.0,20278735.24649265
3.91,0.7000000000000001,0.6344300806581127,0.7860779019631955,255897712.77923745,0.1486666666666667,0.3036111111111111,5.352,2.68,0.0,21427262.89649695
3.91,0.7250000000000001,0.6314005983884444,0.7834666279516214,245409389.5001169,0.12622222222222224,0.341,4.544,3.164,0.0,20221022.65021053
3.91,0.75,0.6327644800355261,0.7732391832208964,262696045.6949957,0.11988888888888889,0.3565,4.316,3.264,0.0,21422271.788853876
3.91,0.775,0.6370605575764549,0.7685124867670186,255566018.35225472,0.12488888888888888,0.33955555555555555,4.496,3.044,0.0,20857617.481314156
3.91,0.8,0.6325329659912517,0.7956003805285806,252781031.38077062,0.1373333333333333,0.3178888888888889,4.944,2.888,0.0,21190306.92525824
3.91,0.8250000000000001,0.6348338841180683,0.7869786436795237,254544035.72846895,0.14444444444444446,0.2990555555555555,5.2,2.74,0.0,21277742.888727576
3.91,0.8500000000000001,0.6384863100874837,0.7786100189741898,256931958.03104782,0.12788888888888889,0.3365,4.604,3.12,0.0,21555983.234604537
3.91,0.875,0.6323108357406748,0.7911614972264004,249655899.35450143,0.14788888888888888,0.31533333333333335,5.324,3.124,0.0,21521575.507127326
3.91,0.9,0.6302811743913369,0.7926145227300119,251844175.02717274,0.189,0.30961111111111106,6.804,3.16,0.0,23479799.618691094
