r,epsilon,order,entropy,sensitivity,domain_wall_density,largest_cluster_fraction,cluster_count,autocorrelation_length,motif_lifetime_proxy,structure_score,ftle_proxy,sensitivity_renormalized,structure_score_renormalized
3.87,0.7000000000000001,0.6401237426476964,0.776458434211779,233698120.09489727,0.1498888888888888,0.283,5.396,2.604,0.0,19585333.18336937,0.2918050436846334,0.5724379799706266,0.047973807234679755
3.87,0.7250000000000001,0.6408346185883522,0.7886371907548573,254875456.0378376,0.1318888888888889,0.3238333333333333,4.748,3.028,0.0,21808860.76939949,0.2951120407711803,0.5732471819820341,0.049050890080372535
3.87,0.75,0.6483291939708817,0.7632402782219524,243611171.5150445,0.126,0.3386111111111111,4.536,3.036,0.0,20494080.818137404,0.31173152242837665,0.5773078497513028,0.04856671250405961
3.87,0.775,0.640931213063857,0.7682167502450434,244090925.6596915,0.1163333333333333,0.3672777777777777,4.188,3.26,0.0,20238916.631228585,0.3213122874764958,0.5796440333289539,0.04806146412296173
3.87,0.8,0.6413379258152094,0.7704901812130568,257833860.0672173,0.1106666666666666,0.3743333333333333,3.984,3.388,0.0,21470956.79889652,0.2972602056754598,0.5737726151044854,0.047780563142818436
3.87,0.8250000000000001,0.6365650948333089,0.7864526493867464,247022189.36689773,0.1237777777777777,0.3379444444444444,4.456,3.148,0.0,20696217.410800066,0.20417941753427515,0.550868255498722,0.04615329987046696
3.87,0.8500000000000001,0.6424504134856381,0.7835598629472184,246597743.166928,0.1275555555555555,0.320111111111111,4.592,3.088,0.0,20995188.740281437,0.3044162686746064,0.5755217538337857,0.04899958811747404
3.87,0.875,0.6380680882026397,0.8033174298529868,246528531.82234967,0.1531111111111111,0.2797777777777778,5.512,2.796,0.0,21622659.854178067,0.19205436995055994,0.5478665535115061,0.04805258054510583
3.87,0.9,0.6395349297066325,0.8038302187263747,234938880.2901364,0.1865555555555555,0.2924444444444444,6.716,3.04,0.0,22556719.167051625,0.2593000670450361,0.5644642250018751,0.05419478030835449
3.88,0.65,0.6360015865086927,0.7815887977442051,253823518.14521068,0.1438888888888889,0.3202777777777778,5.18,2.768,0.0,21245384.676889326,0.3164772522150285,0.5784654924355023,0.04841837351756976
3.88,0.675,0.6354030169786127,0.7745535403698284,249029003.81762215,0.1246666666666666,0.3516111111111111,4.488,3.252,0.0,20669616.22589147,0.3296958897002298,0.5816853802820259,0.04828037453599775
3.88,0.7000000000000001,0.6423004752672979,0.7718365005072461,243055083.74557257,0.1416666666666667,0.3139444444444444,5.1,2.744,0.0,20383039.61979907,0.3163909437707629,0.5784444465686426,0.04850939914757558
3.88,0.7250000000000001,0.6323852555419567,0.7852652256133542,249605963.65914783,0.1208888888888888,0.3519444444444444,4.352,3.296,0.0,20710004.99384345,0.29537447858357596,0.5733113821825128,0.04756810059330481
3.88,0.75,0.6411099492397961,0.770503351016539,245523770.41109535,0.1346666666666666,0.322611111111111,4.848,2.856,0.0,20403025.802745,0.31419894527418396,0.5779098437646786,0.04802430915038692
3.88,0.775,0.6468831453096792,0.766149471325115,239941105.78052664,0.1337777777777777,0.3243888888888889,4.816,2.812,0.0,20103193.849738643,0.30963931744672474,0.5767972201716263,0.04832630195389247
3.88,0.8,0.6416201584029725,0.7737945662176802,250297063.1192777,0.1222222222222222,0.3486111111111111,4.4,3.1,0.0,20889923.17999123,0.29093607362631774,0.5722252837936126,0.04775822005710373
3.88,0.8250000000000001,0.6372047965565503,0.8260382033525603,245614070.5605787,0.1655555555555555,0.2686111111111111,5.96,2.556,0.0,22194673.93313498,0.3039522922694222,0.5754084020684482,0.05199621435835281
3.88,0.8500000000000001,0.6398326941393733,0.7844282755754058,250233580.2859702,0.141,0.3035,5.076,2.816,0.0,21202238.9623962,0.3114909691802608,0.5772491480152623,0.04891019967452947
3.88,0.875,0.6421196053439706,0.7827415174929531,240862015.92124835,0.1366666666666666,0.316,4.92,3.008,0.0,20662129.30603197,0.2806681847236905,0.5697100307081403,0.0488720576235806
3.88,0.9,0.6353665107942813,0.7895346864899084,264778719.8347856,0.1788888888888888,0.3507777777777777,6.44,3.476,0.0,25246746.371693816,0.2695525477703604,0.5669830527993922,0.05406203844480692
3.89,0.65,0.6328147426501041,0.7766664819559838,247459431.3900727,0.1342222222222222,0.3229444444444445,4.832,2.952,0.0,20262164.06265103,0.3222386970582422,0.5798697426793747,0.047480169962146275
3.89,0.675,0.6395653689929884,0.7787794270833626,253323939.71756956,0.1326666666666666,0.3274444444444445,4.776,2.992,0.0,21303066.66155992,0.3079798512603679,0.5763920893084535,0.04847121482250565
3.89,0.7000000000000001,0.6379282953594204,0.7768271119756306,250584568.73617244,0.1342222222222222,0.3260555555555555,4.832,2.884,0.0,20806176.419376872,0.31618715296488703,0.5783947521059989,0.04802443866776704
3.89,0.7250000000000001,0.6316824073055518,0.7836984413789942,256146859.87594533,0.1265555555555555,0.3409444444444444,4.556,3.212,0.0,21212409.16813617,0.3240372041993714,0.5803078334232301,0.048057302798909546
3.89,0.75,0.6396208883368671,0.7803425487038415,257691174.75152257,0.1479999999999999,0.3151666666666667,5.328,2.628,0.0,21740626.718577888,0.30833243248388875,0.5764781747184451,0.048635723827351554
3.89,0.775,0.6375909858350358,0.7760181103070393,259043965.1742717,0.1276666666666666,0.3440555555555555,4.596,3.1,0.0,21578383.54883053,0.2988685503106654,0.5741659012615868,0.04782806667488818
3.89,0.8,0.6391501294988384,0.7782614629331249,244632134.9563626,0.1253333333333333,0.3392222222222222,4.512,3.092,0.0,20441313.094436653,0.31198579993302444,0.5773698982169733,0.04824467915002845
3.89,0.8250000000000001,0.6383029048480422,0.768591616331877,234631906.9528823,0.1146666666666666,0.359,4.128,3.328,0.0,19313109.59907063,0.33549002884904927,0.5830945827549039,0.04799590017239759
3.89,0.8500000000000001,0.6450805781654275,0.763214145032251,250802309.0103728,0.1132222222222222,0.3755,4.076,3.388,0.0,21022262.39613773,0.295718989208542,0.5733956561168555,0.04806205328514561
3.89,0.875,0.6474581171762639,0.7612277251613057,254191074.3810556,0.1323333333333333,0.3401666666666666,4.764,3.104,0.0,21605264.054113887,0.275444822053907,0.5684291094131839,0.048314288905778824
3.89,0.9,0.6305195312392012,0.7911997495689211,250303958.1891914,0.1773333333333333,0.3284444444444445,6.384,3.552,0.0,23427801.686516885,0.26398863453712407,0.5656165325036788,0.052940241336877615
3.9,0.65,0.637705435219283,0.7689852108583043,249175872.9414333,0.1388888888888889,0.3095,5.0,2.756,0.0,20408287.816559657,0.3231780998384938,0.5800985835722308,0.04751189878766185
3.9,0.675,0.6347521225788295,0.781710212892269,250985437.10848448,0.1415555555555555,0.3097777777777778,5.096,2.768,0.0,20799452.737073436,0.32074551019534375,0.5795059279440321,0.04802432482931622
3.9,0.7000000000000001,0.6320796832228965,0.7809926532284174,248242965.9267357,0.1275555555555555,0.3383888888888889,4.592,3.072,0.0,20355773.08441432,0.31141420179956836,0.57723041416304,0.047332544889079065
3.9,0.7250000000000001,0.6402621176541359,0.7653160512905655,254533369.3733986,0.1334444444444444,0.3358333333333333,4.804,2.924,0.0,21039079.358716294,0.32824801618334093,0.5813330312299987,0.04805150620525782
3.9,0.75,0.6364317605007861,0.7688829526795155,245458936.47937745,0.1228888888888889,0.3591111111111111,4.424,3.104,0.0,20056975.39441477,0.3112092360257335,0.5771803944538803,0.04716264616697996
3.9,0.775,0.6350122876424209,0.7946984141943569,246842420.85641357,0.1484444444444444,0.2919444444444444,5.344,2.7,0.0,20919694.8380454,0.31060981753061134,0.5770341036906351,0.048903171985073685
3.9,0.8,0.6313859045297949,0.7891071164415407,257949234.4129029,0.129,0.3183888888888889,4.644,3.108,0.0,21367777.670838278,0.32195049077668253,0.5797995280117375,0.048028936532451515
3.9,0.8250000000000001,0.6310130784146172,0.7937120085804443,250560992.08169,0.1328888888888889,0.3202222222222222,4.784,3.164,0.0,21068665.66084324,0.31932564117745327,0.5791598969504433,0.04869922541270541
3.9,0.8500000000000001,0.6409838654067999,0.7684072611385768,247244707.12946895,0.1181111111111111,0.3668888888888889,4.252,3.328,0.0,20659201.07119899,0.32081146794813936,0.5795220003662834,0.048423530152583445
3.9,0.875,0.636359012989852,0.7804360053950706,243845786.67676204,0.1395555555555555,0.3330555555555555,5.024,3.18,0.0,20849713.664496,0.29034444242662066,0.5720804560485121,0.04891498788731153
3.9,0.9,0.6415462504522301,0.7703382080129282,244031510.59940252,0.1902222222222222,0.3319444444444444,6.848,3.288,0.0,23374880.323882,0.2740638597654032,0.5680903032937125,0.05441527948596351
3.91,0.65,0.6324779278065453,0.7781012146410319,252353642.300122,0.1383333333333333,0.3113333333333333,4.98,2.832,0.0,20624506.71333962,0.32586325585733095,0.5807525041620536,0.04746408180086443
3.91,0.675,0.6305935625344866,0.7814506517091567,246952164.6691237,0.1405555555555555,0.3256111111111111,5.06,2.852,0.0,20278735.24649265,0.3308236978851558,0.5819597817181803,0.047788236047177905
3.91,0.7000000000000001,0.6344300806581127,0.7860779019631955,255897712.77923745,0.1486666666666667,0.3036111111111111,5.352,2.68,0.0,21427262.89649695,0.32410429417119074,0.5803241731415599,0.048592691540873076
3.91,0.7250000000000001,0.6314005983884444,0.7834666279516214,245409389.5001169,0.1262222222222222,0.341,4.544,3.164,0.0,20221022.65021053,0.328002390089043,0.5812732483442463,0.047895231493271184
3.91,0.75,0.6327644800355261,0.7732391832208964,262696045.6949957,0.1198888888888888,0.3565,4.316,3.264,0.0,21422271.78885388,0.33341549616739813,0.5825901868622946,0.04750891963929167
3.91,0.775,0.6370605575764549,0.7685124867670186,255566018.35225472,0.1248888888888888,0.3395555555555555,4.496,3.044,0.0,20857617.48131416,0.31919610304831153,0.5791283238178347,0.04726464468424686
3.91,0.8,0.6325329659912517,0.7956003805285806,252781031.38077065,0.1373333333333333,0.3178888888888889,4.944,2.888,0.0,21190306.92525824,0.32531456445195606,0.5806189033929599,0.048672531725573245
3.91,0.8250000000000001,0.6348338841180683,0.7869786436795237,254544035.72846892,0.1444444444444444,0.2990555555555555,5.2,2.74,0.0,21277742.888727576,0.3330235804938318,0.5824948781714064,0.04869167810693934
3.91,0.8500000000000001,0.6384863100874837,0.7786100189741898,256931958.03104785,0.1278888888888888,0.3365,4.604,3.12,0.0,21555983.234604537,0.3184104428577677,0.5789368161219793,0.04857142878548676
3.91,0.875,0.6323108357406748,0.7911614972264004,249655899.35450143,0.1478888888888888,0.3153333333333333,5.324,3.124,0.0,21521575.50712733,0.29453415777956576,0.5731058056825871,0.04940456004629336
3.91,0.9,0.6302811743913369,0.7926145227300119,251844175.02717277,0.189,0.309611111111111,6.804,3.16,0.0,23479799.61869109,0.2750543441663779,0.5683333158124134,0.05298654364533927
