r,epsilon,seed,n,horizon,motif_size,frame_even,motif_even,parity,wall_entropy,cluster_lifetime,score
3.87,0.14,707,80,360,4,0.889902677967194,0.667072633347835,0.6659131382909456,0.7387083488792978,7,0.021069339630744116
3.87,0.14,1313,80,360,4,0.9052738583660963,0.7202533781742451,0.7186029541880586,0.7778495034050306,7,0.02218816711165766
3.87,0.15,101,80,360,4,0.8603246756603612,0.5610980795078577,0.5498472805315151,0.6950551794086735,3,0.005449315397586801
3.87,0.15,707,80,360,4,0.8211526356707808,0.4607007590863438,0.447474845619602,0.7726078974341785,3,0.0028694060681561436
3.87,0.15,1313,80,360,4,0.8638489269467093,0.5693694937455017,0.5593715269331077,0.6964470174966357,5,0.00951327718092777
3.87,0.16,101,80,360,4,0.8009464767423436,0.432005034112393,0.3707194002727738,0.6072387998267361,4,0.0021426811464236636
3.87,0.16,707,80,360,4,0.8299796475366031,0.5369713223604353,0.2660725704052912,0.6486362653097211,3,0.0009983777119177781
3.87,0.16,1313,80,360,4,0.8114391168307499,0.4597837579087579,0.372674215396715,0.7317383376344001,5,0.0033337374792618774
3.88,0.1,101,80,360,4,0.7940976038410514,0.3909607185489242,0.3814573600233448,0.6912949932085959,6,0.0026522997701397006
3.88,0.1,707,80,360,4,0.7787580628377,0.364893627709656,0.35347060936447355,0.8063716835503251,5,0.0015725228939533567
3.88,0.1,1313,80,360,4,0.746784950264789,0.31592093256206166,0.29917984606097614,0.862381051525506,6,0.0005698214648328274
3.88,0.11,101,80,360,4,0.8223438730288528,0.5156464733183483,0.5064178339805432,0.873264263902921,9,0.014555722679523158
3.88,0.11,707,80,360,4,0.826024675761067,0.5671926220620777,0.5486814778430312,0.7947853764782278,24,0.051318989879839925
3.88,0.11,1313,80,360,4,0.7306309026994511,0.3751773399651424,0.34118838873683366,0.7698133258059182,7,0.002480270048223917
3.88,0.12,101,80,360,4,0.8898150972011859,0.6876920314228782,0.6846604111194506,0.6774146290170646,26,0.07679994280190552
3.88,0.12,707,80,360,4,0.8633227122340026,0.6156629835218544,0.6108296907348253,0.8525500690320378,6,0.016395164595246783
3.88,0.12,1313,80,360,4,0.8776774101234788,0.5896684889371382,0.5895228684457605,0.8776955984439263,3,0.00695441978262594
3.88,0.13,101,80,360,4,0.8847588231660811,0.6989332341046051,0.6952808599474257,0.7588885974534706,17,0.0568572753354261
3.88,0.13,707,80,360,4,0.8941346002787535,0.6988049703992244,0.6986351269333889,0.6836854226445908,4,0.012492215791426843
3.88,0.13,1313,80,360,4,0.9007813293896962,0.7208620673681159,0.7208172912487129,0.7279593097092208,4,0.012546672463888851
3.88,0.14,101,80,360,4,0.8914323475583557,0.7373931634561675,0.7373263071261532,0.4015570879445945,2,0.005382764031388129
3.88,0.14,707,80,360,4,0.8835083941596038,0.6840462788219843,0.6838501950629399,0.48617340549484434,1,0.0027924431347945543
3.88,0.14,1313,80,360,4,0.8663947846508331,0.653779984967989,0.6536197001657961,0.39493700870963117,1,0.0025746147154953646
3.88,0.15,101,80,360,4,0.8477479506380716,0.5380587651595717,0.5277955904590735,0.7423568390535182,4,0.006636217955112207
3.88,0.15,707,80,360,4,0.8461331754602923,0.5289873433018594,0.5224540502187008,0.5309986151829975,3,0.004234667680866627
3.88,0.15,1313,80,360,4,0.8866710022168693,0.6328555443212702,0.6254820075748164,0.6184796714781414,5,0.012300393420410158
3.88,0.16,101,80,360,4,0.7902033467204838,0.39791284572282554,0.3702488042014024,0.6264751418831446,4,0.0017192599864811337
3.88,0.16,707,80,360,4,0.7787336633460626,0.38044416974154877,0.3451217078117846,0.6990742916955699,5,0.0016663943887952233
3.88,0.16,1313,80,360,4,0.8065753191700772,0.44270387878250783,0.4124370644760987,0.5790654028441944,3,0.00207828818409739
3.89,0.1,101,80,360,4,0.7499260846680201,0.3361346531492701,0.31226747003461497,0.8845085216966473,5,0.0008431088918450139
3.89,0.1,707,80,360,4,0.7466621010038349,0.3173747663626696,0.297008770526115,0.8741192847990285,9,0.0008749898482801031
3.89,0.1,1313,80,360,4,0.7830897550030615,0.3723246415882505,0.3614431410607972,0.834243963042543,5,0.0018052882270227456
3.89,0.11,101,80,360,4,0.8528742014034354,0.5745062598691633,0.5683411592501675,0.7320734832798457,10,0.020862448963657337
3.89,0.11,707,80,360,4,0.7978079247701223,0.45446341460958395,0.4417399647971836,0.7557669476483828,9,0.008536808699341482
3.89,0.11,1313,80,360,4,0.8357734164357149,0.5501132088677452,0.5398177024338656,0.6788863058660816,8,0.014400991077653295
3.89,0.12,101,80,360,4,0.8329529235885083,0.5750738918339724,0.564205594770885,0.7345586874508238,12,0.0262295261983482
3.89,0.12,707,80,360,4,0.8259466017853114,0.5616082036243326,0.5481105470367561,0.6663849659182512,38,0.049010626701818036
3.89,0.12,1313,80,360,4,0.9503210611632991,0.8354147655100276,0.8345921430513636,0.8420710310812053,3,0.008360387675878883
3.89,0.13,101,80,360,4,0.9306494882805365,0.786261861458434,0.7862245480255982,0.5238190533333782,2,0.0050690727617358315
3.89,0.13,707,80,360,4,0.8863094902409419,0.6625471202184912,0.6619831874133624,0.6198971930289371,5,0.014130654020153711
3.89,0.13,1313,80,360,4,0.8385748920098719,0.540841645921283,0.5375589605265905,0.7223363327021486,5,0.008764611826801105
3.89,0.14,101,80,360,4,0.9318187009563019,0.8275679671471001,0.8274000218790395,0.46627429203985393,3,0.007321921078707046
3.89,0.14,707,80,360,4,0.8752195469181357,0.675541640147487,0.6754456270010819,0.6492758975780932,1,0.003071350433443042
3.89,0.14,1313,80,360,4,0.8594085766384154,0.6243842875874126,0.621330799977023,0.3181071679732057,153,0.05397158262356348
3.89,0.15,101,80,360,4,0.8736762342160528,0.6172769162960695,0.6138257308926186,0.585146046105644,10,0.023366874876612542
3.89,0.15,707,80,360,4,0.8436377256815766,0.525454101677892,0.5243540120008773,0.23490293424862857,1,0.0011713710039757623
3.89,0.15,1313,80,360,4,0.8838254418632442,0.6529851608405036,0.6490780391812301,0.7544636132970624,7,0.020814963765963482
3.89,0.16,101,80,360,4,0.8385360644060242,0.5101433049477404,0.4933618165431887,0.8041428218490331,2,0.002801627848770905
3.89,0.16,707,80,360,4,0.791567362912625,0.40105985999887217,0.3711903348353272,0.731338291146347,5,0.0023368116589248303
3.89,0.16,1313,80,360,4,0.8055457583411213,0.423975337498523,0.3983280946028721,0.7257036858655024,5,0.003102436126704055
