r,epsilon,n,horizon,seed,motif_size,frame_even,motif_even,motif_odd,comp_even,parity,wall_entropy,max_cluster_lifetime,atlas_score,motif_entropy
3.8625,0.164,320,1440,42,4,0.8416234816803831,0.5720534855523133,0.2503660781070796,0.0,0.32168740744523366,0.7008165556789259,7,0.004857379285060792,0.711094560765986
3.8625,0.164,320,1440,42,6,0.8416234816803831,0.4639462657316441,0.15316554766809864,0.0,0.31078071806354546,0.7008165556789259,7,0.0027851534994040193,0.6962673407419987
3.8625,0.164,320,1440,73,4,0.8545464237676746,0.6001909828655745,0.3088763891255332,1.9633787538989214e-06,0.29131459374004126,0.8115374484785153,4,0.0023296159179444728,0.6171221401805059
3.8625,0.164,320,1440,73,6,0.8545464237676746,0.49589566985704564,0.19657703132980625,0.0,0.2993186385272394,0.8115374484785153,4,0.0017084793189927484,0.6342243534249903
3.8625,0.164,320,1440,101,4,0.8540051032348739,0.5993776240174615,0.30892323321704857,0.0,0.29045439080041296,0.7588695554091879,5,0.002807051549255297,0.667887186363093
3.8625,0.164,320,1440,101,6,0.8540051032348739,0.4945491454509954,0.19996886349371928,0.0,0.2945802819572761,0.7588695554091879,5,0.0019717127414161932,0.6513968849897881
3.8625,0.164,320,1440,137,4,0.8513923193178522,0.5892828764247012,0.28410762110742294,6.373331794822502e-06,0.3051752553172783,0.6028411974573273,7,0.0041066578034236545,0.633404621992169
3.8625,0.164,320,1440,137,6,0.8513923193178522,0.4756149676264517,0.1669498238845935,0.0,0.3086651437418582,0.6028411974573273,7,0.002683560593981808,0.6252211794855256
3.8625,0.164,320,1440,173,4,0.8522545439924262,0.5949159302478471,0.2958435710578219,0.0,0.29907235919002517,0.530837840075418,4,0.002156716790519798,0.6791834768657051
3.8625,0.164,320,1440,173,6,0.8522545439924262,0.4865961132000428,0.18982496184708064,0.0,0.29677115135296217,0.530837840075418,4,0.0013820190805893407,0.657629785855756
3.885,0.1,320,1440,17,4,0.7747808716712948,0.35844275882455334,0.013007409465997622,0.005343080176137905,0.34543534935855574,0.7265808623859675,10,0.0026701508529654097,0.7180769935687086
3.885,0.1,320,1440,17,6,0.7747808716712948,0.21969968501968135,0.0019737718770307085,0.0007304593525423376,0.21772591314265063,0.7265808623859675,10,0.0,0.679243214262598
3.885,0.1,320,1440,42,4,0.7900915080058066,0.3890984959244194,0.011720766043711995,0.004861812220126277,0.37737772988070745,0.7250271694212028,7,0.0030557970141067074,0.6923226819149434
3.885,0.1,320,1440,42,6,0.7900915080058066,0.2516914640847594,0.002126741728332216,0.0008348870398111746,0.24956472235642718,0.7250271694212028,7,0.0,0.646600304744792
3.885,0.1,320,1440,73,4,0.7958704961725676,0.38949478262706977,0.008930974600234683,0.0029683070833793953,0.3805638080268351,0.5898738265120584,9,0.0036836204673682347,0.6868146059153798
3.885,0.1,320,1440,73,6,0.7958704961725676,0.24740244056842053,0.0014159518380281685,0.0002656432126232544,0.24598648873039236,0.5898738265120584,9,0.0,0.6372534334751627
3.885,0.1,320,1440,101,4,0.7959911446055484,0.3926252687531845,0.009064157271466203,0.0030807866256041274,0.3835611114817183,0.7674129270908554,7,0.003288422465435745,0.6919549274022968
3.885,0.1,320,1440,101,6,0.7959911446055484,0.2512956397544625,0.0013101743437610488,0.00038223262015898605,0.24998546541070146,0.7674129270908554,7,0.0,0.645500823545387
3.885,0.1,320,1440,137,4,0.8048929681262734,0.40336745548775205,0.007530182111720726,0.0020385719476756527,0.3958372733760313,0.764496359187529,7,0.003754255165886154,0.671348081433295
3.885,0.1,320,1440,137,6,0.8048929681262734,0.2608415579214808,0.0011747355885201435,0.00022780368972620226,0.2596668223329606,0.764496359187529,7,0.0,0.6184795565299939
3.885,0.1,320,1440,173,4,0.7840521190896833,0.37102988979946333,0.011368475701352734,0.004437572170847011,0.3596614140981106,0.7989670968563571,7,0.0024166849663447595,0.705920085785897
3.885,0.1,320,1440,173,6,0.7840521190896833,0.2314903891813444,0.0019094544460509255,0.0005957126404984504,0.22958093473529348,0.7989670968563571,7,0.0,0.6628394202214852
3.885,0.132,320,1440,17,4,0.9005741143160627,0.7339695648184852,2.4211574758587985e-05,6.933397715117341e-06,0.7339453532437266,0.574172002449305,4,0.011565084700656147,0.6538100484090809
3.885,0.132,320,1440,17,6,0.9005741143160627,0.6588934665531048,9.519466041205171e-07,0.0,0.6588925146065007,0.574172002449305,4,0.010433178650504487,0.6113240616220001
3.885,0.132,320,1440,42,4,0.8972453255170919,0.7232424119886237,3.474042481117797e-05,7.778286320362177e-06,0.7232076715638125,0.48157568424309893,6,0.01663208711648661,0.6542839920901368
3.885,0.132,320,1440,42,6,0.8972453255170919,0.6358681031410237,1.3250883392226148e-06,0.0,0.6358667780526844,0.48157568424309893,6,0.0136498468463861,0.6183791947984457
3.885,0.132,320,1440,73,4,0.9053510745970312,0.7436599354298475,3.975265017667845e-06,0.0,0.7436559601648298,0.5421971470002375,5,0.013977790748145733,0.6441205285915619
3.885,0.132,320,1440,73,6,0.9053510745970312,0.6739571754352308,0.0,0.0,0.6739571754352308,0.5421971470002375,5,0.01311107371896237,0.6201738857768214
3.885,0.132,320,1440,101,4,0.9246986673167606,0.8013077369389399,0.0,0.0,0.8013077369389399,0.21066512268594975,3,0.006374193607603318,0.6218186033029123
3.885,0.132,320,1440,101,6,0.9246986673167606,0.7452476851408798,0.0,0.0,0.7452476851408798,0.21066512268594975,3,0.006374193607603318,0.6009852347818598
3.885,0.132,320,1440,137,4,0.8912097586380134,0.7095705755183771,2.345589321315239e-06,0.0,0.7095682299290558,0.4422646234997428,7,0.019325593382163914,0.7018426839649706
3.885,0.132,320,1440,137,6,0.8912097586380134,0.6262030615001175,0.0,0.0,0.6262030615001175,0.4422646234997428,7,0.015087542361180845,0.6744067533075215
3.885,0.132,320,1440,173,4,0.9147605767615768,0.7740403314890971,0.0,0.0,0.7740403314890971,0.30495598714563205,7,0.01640960439208133,0.6416810101276531
3.885,0.132,320,1440,173,6,0.9147605767615768,0.7045722137989745,0.0,0.0,0.7045722137989745,0.30495598714563205,7,0.01640960439208133,0.6132870837238317
3.885,0.164,320,1440,17,4,0.8148686022213409,0.4791295192995567,0.13287929013999628,8.700522713194877e-06,0.34625022915956044,0.8704734004258021,6,0.003984527442674385,0.7652334766871842
3.885,0.164,320,1440,17,6,0.8148686022213409,0.3543555311579829,0.05548617426553757,0.0,0.2988693568924453,0.8704734004258021,6,0.0010058184813643081,0.7581573719964705
3.885,0.164,320,1440,42,4,0.83002989210892,0.5201723763077651,0.1557721112796949,0.0,0.3644002650280702,0.4316027205943299,3,0.0020521321462499413,0.7962217272138037
3.885,0.164,320,1440,42,6,0.83002989210892,0.4038249804561153,0.06422024471935096,0.0,0.33960473573676436,0.4316027205943299,3,0.0008984381277318487,0.7915122885375256
3.885,0.164,320,1440,73,4,0.8145883471151407,0.48351773158149836,0.1281934714204242,0.0,0.35532426016107416,0.47582406323339677,5,0.0029265675038896476,0.8228200920659801
3.885,0.164,320,1440,73,6,0.8145883471151407,0.36196654811453177,0.0480698966780519,0.0,0.3138966514364799,0.47582406323339677,5,0.0008643001748212767,0.8156520955876254
3.885,0.164,320,1440,101,4,0.8243106413023918,0.5049649407587813,0.16268623236819255,0.0,0.3422787083905887,0.4607816139103109,5,0.0028642824507975357,0.741239361258619
3.885,0.164,320,1440,101,6,0.8243106413023918,0.3871690224373986,0.07383561815722176,0.0,0.31333340428017686,0.4607816139103109,5,0.0010868967495709662,0.7516872801860529
3.885,0.164,320,1440,137,4,0.8330622166375976,0.5280985498963754,0.17744238794816453,0.0,0.35065616194821086,0.8752296595430596,5,0.00407320124856637,0.7870789509868152
3.885,0.164,320,1440,137,6,0.8330622166375976,0.4128564447023494,0.08033611745924728,0.0,0.3325203272431021,0.8752296595430596,5,0.0019186239834446896,0.7827411504091358
3.885,0.164,320,1440,173,4,0.8289717420573011,0.5234419621137839,0.19143988913314947,0.0002329644814133002,0.33200207298063444,0.6119201280521618,3,0.001857446604712202,0.7206517934061102
3.885,0.164,320,1440,173,6,0.8289717420573011,0.40955762162732673,0.0954760050429987,2.4350734627349216e-05,0.31408161658432804,0.6119201280521618,3,0.0008543164726753438,0.7063921190505233
