r,epsilon,long_memory_score,motif_100,motif_150,motif_200,comp_100,comp_150,comp_200,frame_100,frame_150,wall_period,wall_period_power,wall_spectral_entropy,wall_ac_late_mean,mean_wall_velocity,max_cluster_lifetime,global_period
3.8,0.1,2.0302975366998532e-05,0.77065625,0.4156133333333333,0.8639571428571429,0.0,0.0,0.0,0.9583999999999999,0.8298,2.148780487804878,0.33322099143692513,0.4950017514658832,0.010938896883593913,0.19682595684409704,24.0,2.148780487804878
3.8,0.12,5.1597560698549873e-05,0.72764375,0.57418,0.7528571428571429,0.0,0.0,0.0,0.93604375,0.8941733333333334,3.2035714285714283,0.15800246759798217,0.7735720222440727,0.007037174088073174,0.1295732437478986,896.0,3.2
3.8,0.14,2.3101226482898135e-05,0.753575,0.2966333333333333,0.8806499999999999,0.0,0.0,0.0,0.93311875,0.787,3.6,0.5588073764494668,0.36877770439192964,0.003530959285805604,0.2906513879059355,13.0,3.6
3.8,0.16,6.235125868438831e-11,0.90243125,0.39738666666666667,0.9299857142857142,0.0,0.0,0.0,0.9753812500000001,0.8126333333333333,3.2,0.39697683127821015,0.39623873311426927,0.1036068080658259,4.139375496583506,670.0,3.2
3.8,0.18,0.00033662254890708067,0.28976875,0.25392,0.22472142857142857,6.874999999999999e-05,0.00011333333333333334,5e-05,0.71426875,0.6873733333333334,720.4008908685969,0.07881402573805006,0.8536691647218527,0.03278162306952319,1.1300623829266765,47.0,181.62799571271688
3.8,0.2,9.704374999300107e-05,0.43466249999999995,0.41384,0.3868714285714286,4.375e-05,4e-05,1.4285714285714287e-05,0.76825,0.75206,181.70704225352114,0.1511286702303624,0.8072069186306183,0.05871963463388604,0.9098009693310025,351.0,361.31423337321223
3.8,0.25,0.0003079986846112333,0.34489375,0.31325333333333333,0.28141428571428573,0.000125,0.00012000000000000002,0.00012857142857142858,0.73665625,0.7194333333333333,900.0,0.26227925950696096,0.7034928335261567,0.18177203755902308,1.0232254386611885,33.0,540.8108149237831
3.8,0.3,4.296267987221119e-08,0.27523125000000004,0.21241333333333334,0.3886071428571428,0.00011250000000000001,0.00013333333333333334,4.2857142857142856e-05,0.7654625,0.7140466666666667,182.39646017699116,0.220883745743416,0.6906433861419856,0.05087364631301804,1.802857142857143,16.0,3.1964601769911503
3.85,0.02,1.407653948865571e-07,0.03779375,0.03863333333333333,0.04008571428571429,6.25e-06,0.0,7.1428571428571436e-06,0.57701875,0.5783733333333333,4.75215476425667,0.01585124500162713,0.929124331968467,-0.0013705513093624454,1.1439246604958506,11.0,2.7507714617084877
3.85,0.04,6.91126096117711e-08,0.0460125,0.04514666666666667,0.04525,6.25e-06,0.0,7.1428571428571436e-06,0.5937375,0.5913866666666667,2.3804089448044814,0.017710396260010572,0.9248573598497518,0.00032123593091826187,1.280318446847924,12.0,2.3630458627423603
3.85,0.06,8.555856345074512e-08,0.05228125,0.05071333333333333,0.05011428571428571,0.0,0.0,0.0,0.60944375,0.6092133333333333,46.83833902458252,0.016085442439731885,0.9259917765596484,-0.0007830050549765731,1.3556132564753254,17.0,2.365550870249032
3.85,0.08,1.1355345350679458e-05,0.17065,0.16292,0.16055000000000003,0.0,0.0,0.0,0.75383125,0.7440333333333333,93.3105722814595,0.05525178339051218,0.844237457977164,0.0010977512258671961,0.5670547409524239,15.0,4.143905614792832
3.85,0.1,3.2588298189280336e-05,0.3868375,0.3738533333333333,0.3667357142857143,0.0,0.0,0.0,0.8503999999999999,0.8432533333333334,182.63718156462113,0.09613817374495792,0.8046785069571557,0.0026361858482166016,0.21498842683256392,16.0,3.3779223053618557
3.85,0.12,1.4347110318049965e-05,0.9442562499999999,0.48062000000000005,0.9340571428571428,0.0,0.0,0.0,0.98894375,0.8356866666666667,2.4,0.7507013992839547,0.20380502374289988,0.03051596822484324,0.17862462637146925,7.0,2.4
3.85,0.14,4.725210444179528e-05,0.5484375,0.4538133333333333,0.6091785714285715,0.0,0.0,0.0,0.8895937500000001,0.8699266666666666,3.2372093023255815,0.1631909810031346,0.7940645384817603,0.004321113097648111,0.22200547962546588,71.0,2.4372093023255816
3.85,0.16,2.4408806034126136e-09,0.5053875,0.33332666666666666,0.5050357142857143,0.0,0.0,0.0,0.8686562500000001,0.79252,2.0,0.35504166367661905,0.5613823544160468,0.002267399670316901,2.5409006256315325,68.0,2.0
3.85,0.18,2.6191891282340314e-10,0.09070625,0.08594666666666666,0.08499999999999999,5.6250000000000005e-05,6.666666666666667e-05,7.857142857142858e-05,0.5910437500000001,0.5887800000000001,2.036415908062808,0.05659207582152494,0.845451386835777,-0.0024362541749959727,2.2962948530273333,26.0,2.0345221181156767
3.85,0.2,8.200424585562827e-09,0.09009375,0.08786666666666668,0.08259285714285713,0.00014375,0.00013333333333333334,0.00014285714285714287,0.5832625,0.5812133333333334,136.22469552337063,0.052856852349696525,0.8610037771549829,-0.008731168439445786,2.0455913085815647,31.0,2.030873940540529
3.85,0.25,0.00022048793273258307,0.35354375,0.34232666666666667,0.33007142857142857,0.0001,0.0001533333333333333,0.0001142857142857143,0.71733125,0.7107933333333334,405.81570438799076,0.2844622173686501,0.6669109020015161,0.07121757536283224,1.3124394618142503,24.0,361.22572716703405
3.85,0.3,2.7094757964132063e-06,0.21005000000000001,0.18613333333333335,0.16927142857142857,0.00011250000000000001,0.00014,0.00014285714285714287,0.6867875,0.6726933333333334,900.0,0.15171587407381093,0.7981647710267195,0.09079164713459358,1.8417978426596697,37.0,91.62290980908492
3.9,0.02,5.87478523561928e-07,0.02075625,0.02249333333333333,0.0204,6.25e-05,6.666666666666667e-05,4.2857142857142856e-05,0.52226875,0.5265666666666666,4.174124527310852,0.01751434921520566,0.9257346506603051,0.00023459514482009167,0.7923782579427741,18.0,2.8931654854836326
3.9,0.04,2.3079012410528259e-07,0.0332625,0.03292,0.03221428571428571,1.25e-05,2e-05,0.0,0.56296875,0.5637133333333333,3.8330477652420725,0.016421464787861335,0.9256519789820924,-0.0006295227623048965,1.0330763532598906,13.0,2.734098789043295
3.9,0.06,7.901130788871523e-08,0.042193749999999995,0.04427333333333333,0.04411428571428572,6.25e-06,1.3333333333333333e-05,0.0,0.5868875,0.5866866666666667,3.64370880795945,0.017412654496892326,0.9261933543878854,-0.000685139455586023,1.259558101952429,13.0,2.5900963488472866
3.9,0.08,1.809133487809788e-07,0.0459625,0.04616,0.044,6.25e-06,6.666666666666667e-06,0.0,0.59835,0.5977266666666667,49.91758582777699,0.015285592217115599,0.9228959412875429,-0.0021160516549204355,1.234895995427141,11.0,2.3481087017130657
3.9,0.1,8.489547765457741e-05,0.2804625,0.2606,0.24628571428571427,0.0,0.0,0.0,0.79013125,0.7777533333333333,183.08685579626825,0.12863946716442598,0.7918170727063698,0.021984097487603327,0.4116969330806601,20.0,183.08685579626825
3.9,0.12,0.000599915922760267,0.43144375,0.3946466666666667,0.36272142857142853,0.0,0.0,0.0,0.8186125000000001,0.7951466666666667,780.0,0.22764544120281918,0.6750439487555485,0.10111316120721843,0.17055285713372872,21.0,720.4054054054054
3.9,0.14,1.4010028324379478e-05,0.9657562499999999,0.4995466666666667,0.98295,0.0,0.0,0.0,0.99319375,0.8445466666666667,3.2,0.6891398992988812,0.20460096294887647,0.020919791177069047,0.1625428409006568,7.0,3.2
3.9,0.16,2.7144121595212194e-05,0.5626187500000001,0.44172,0.6367142857142858,0.0,0.0,0.0,0.8897875,0.8543466666666667,3.0,0.2848239140959636,0.6671618966240924,0.02484925295197538,0.32713785940755535,12.0,2.6
3.9,0.18,1.277332635492625e-10,0.1496375,0.13015333333333334,0.1147357142857143,1.25e-05,0.0,0.0,0.64764375,0.6332333333333333,2.01355320625922,0.0856882327925987,0.8121285587304564,-0.0002606902970165359,2.6035222459008573,123.0,91.61266233766233
3.9,0.2,3.845701911515558e-10,0.086225,0.08666,0.08632857142857144,0.00013125000000000002,0.00014666666666666666,7.142857142857143e-05,0.5881937500000001,0.5879333333333333,2.0414911970306404,0.04461631015121117,0.8639925625475913,-0.0025381393481941628,2.230502204466392,19.0,2.0414911970306404
3.9,0.25,6.186723169029982e-09,0.09861875,0.0897,0.08848571428571428,0.0002875,0.00022,0.0002142857142857143,0.5847125,0.5773933333333333,337.9255319148936,0.044771072917308134,0.8705716343792853,-0.006969875937797525,1.9784458218258947,33.0,2.066254728919148
3.9,0.3,2.3537714292736595e-09,0.11653125,0.10952666666666666,0.10824285714285713,0.0003125,0.0003066666666666667,0.0003285714285714286,0.6044875000000001,0.5976066666666666,442.9255319148936,0.06356449478134417,0.862982403742798,-0.0028321747486063915,2.3498072388771716,25.0,2.151581564295907
