N,boundary_complexity,bridge_formula,bridge_score,cluster_count,coexistence,entropy,epsilon,motif_persistence,order,phase_variance,r,sensitivity,spatial_entropy,steps,temporal_entropy,transient
48,0.0,"order * entropy * sensitivity * (0.65 + 0.35 * boundary_complexity) * (0.5 + 0.5 * max(0, motif_persistence)) * max(0, 1 - abs(order - entropy))",0.01905614644732838,11,0.7081622394703104,0.6281917503541655,0.4,0.6133620689655173,0.9200295108838551,0.05859058029614728,3.725,0.08879594347853294,0.7783031593437508,300,0.4447222504780056,450
48,0.0,"order * entropy * sensitivity * (0.65 + 0.35 * boundary_complexity) * (0.5 + 0.5 * max(0, motif_persistence)) * max(0, 1 - abs(order - entropy))",0.03672088624371532,13,0.7932006281161293,0.7158223642759989,0.5,0.8640804597701149,0.9226217361598695,0.060096336783751036,3.725,0.11570527129093401,0.8398257957486565,300,0.5642626146983063,450
48,0.0,"order * entropy * sensitivity * (0.65 + 0.35 * boundary_complexity) * (0.5 + 0.5 * max(0, motif_persistence)) * max(0, 1 - abs(order - entropy))",0.046014223313037825,10,0.8128325541975406,0.7345553181003872,0.6000000000000001,0.6900862068965518,0.9217227639028466,0.05907028127504155,3.725,0.15222078868105307,0.8506276902671754,300,0.5926890854520904,450
48,0.0,"order * entropy * sensitivity * (0.65 + 0.35 * boundary_complexity) * (0.5 + 0.5 * max(0, motif_persistence)) * max(0, 1 - abs(order - entropy))",0.04968115098766468,11,0.8032054417771108,0.7265038090895221,0.7000000000000001,0.85,0.9232983673124112,0.05884273819980734,3.725,0.15336630485065725,0.8407681000130136,300,0.5868474535163657,450
48,0.0,"order * entropy * sensitivity * (0.65 + 0.35 * boundary_complexity) * (0.5 + 0.5 * max(0, motif_persistence)) * max(0, 1 - abs(order - entropy))",0.037026527000454536,11,0.6827859589713405,0.5598985062088354,0.8,0.9985632183908046,0.8771125472374949,0.05459891997020494,3.725,0.1700053202764414,0.8014718765298173,300,0.264642164705413,450
48,0.0,"order * entropy * sensitivity * (0.65 + 0.35 * boundary_complexity) * (0.5 + 0.5 * max(0, motif_persistence)) * max(0, 1 - abs(order - entropy))",0.056449897487964265,13,0.7988092915093342,0.7064845324299318,0.9,0.7370689655172413,0.9076752409205976,0.06548606288210324,3.725,0.19520299664658639,0.8200798951678522,300,0.5676457557502511,450
48,0.07263888888888889,"order * entropy * sensitivity * (0.65 + 0.35 * boundary_complexity) * (0.5 + 0.5 * max(0, motif_persistence)) * max(0, 1 - abs(order - entropy))",0.024003507259864706,22,0.721654011227772,0.6393545573995965,1.0,0.8169540229885057,0.9177005461718245,0.06192057137738616,3.725,0.09238739827610974,0.769037097735697,300,0.4808536747665846,450
48,0.21777777777777776,"order * entropy * sensitivity * (0.65 + 0.35 * boundary_complexity) * (0.5 + 0.5 * max(0, motif_persistence)) * max(0, 1 - abs(order - entropy))",0.0051544409251013034,13,0.9959273896447955,0.8911182680961999,0.0,0.10114942528735632,0.8951908784514043,0.06863330791636235,3.7625,0.01622621029202152,0.8957275375101105,300,0.885484716590309,450
48,0.21465277777777778,"order * entropy * sensitivity * (0.65 + 0.35 * boundary_complexity) * (0.5 + 0.5 * max(0, motif_persistence)) * max(0, 1 - abs(order - entropy))",0.013166848296647281,36,0.6983312468091084,0.5603238376195645,0.1,0.6906609195402299,0.8619925908104561,0.07553565529228545,3.7625,0.06368486739290796,0.6477626428851192,300,0.4534541867394418,450
48,0.05611111111111111,"order * entropy * sensitivity * (0.65 + 0.35 * boundary_complexity) * (0.5 + 0.5 * max(0, motif_persistence)) * max(0, 1 - abs(order - entropy))",0.03703760336974717,15,0.6987078955092807,0.6069621330765866,0.2,0.5810344827586207,0.9082542375673059,0.06209266715245865,3.7625,0.18164614357053543,0.7126578478202853,300,0.47777848172317705,450
