r,epsilon,long_memory_score,smooth_even_score,resonant_even_score,odd_even_motif_index,even_decay_index,motif_25,motif_50,motif_75,motif_100,motif_125,motif_150,motif_175,motif_200,motif_225,motif_250,motif_260,comp_25,comp_50,comp_75,comp_100,comp_125,comp_150,comp_175,comp_200,comp_225,comp_250,comp_260,frame_25,frame_50,frame_75,frame_100,frame_125,frame_150,frame_175,frame_200,frame_225,frame_250,frame_260,wall_period,wall_spectral_entropy,wall_ac_late_mean,mean_wall_velocity,max_cluster_lifetime,global_period,frame_even_mean,motif_even_mean,motif_odd_mean,comp_even_mean,parity_index,smooth_index,resonance_index,class,atlas_score
3.855,0.1307,1.0971086995027774e-05,0.0,1.0971086995027774e-05,0.5608837301587302,0.0,5e-05,0.5099464285714286,0.0,0.7420833333333333,0.0,0.46605,2.777777777777778e-05,0.669125,0.0,0.4172916666666666,0.6142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1503833333333333,0.8595178571428571,0.1562307692307692,0.9402916666666666,0.1623863636363636,0.843875,0.1721111111111111,0.916875,0.1807857142857143,0.8262916666666666,0.9014285714285716,300.5,0.5447968294655321,-0.0805856866000475,0.1727151555373304,36.0,101.5,0.8773702380952381,0.5608992857142857,1.5555555555555555e-05,0.0,0.5608837301587302,1.9566020688773791e-53,0.7133611111111111,resonant phase-memory,0.034090705228761176
3.855,0.136,1.2625762067049342e-05,3.955078530244863e-06,8.670683536804479e-06,0.585037152014652,0.0345688809523809,0.0001166666666666,0.5218392857142857,5.769230769230769e-05,0.7090416666666667,0.0,0.516625,0.0001666666666666,0.6630625,0.0,0.5149583333333333,0.6295982142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1456666666666666,0.8712678571428571,0.1469807692307692,0.9352916666666666,0.147840909090909,0.87245,0.1491666666666666,0.924625,0.1495,0.8750833333333333,0.9177232142857144,151.47087378640776,0.7934955432506985,-0.0058695560478198,0.1847378015431421,67.0,3.0002000200020005,0.8957435714285713,0.5851053571428572,6.820512820510154e-05,0.0,0.585037152014652,4.676097355415952e-31,0.6130055555555556,resonant phase-memory,0.03527691131947562
3.865,0.12,3.228033187680128e-06,3.6731200558946393e-07,2.8607211820906634e-06,0.568668988095238,0.0417244761904761,1.6666666666666667e-05,0.4782678571428571,0.0,0.7510416666666667,0.0,0.465125,0.0,0.68621875,0.0,0.4627083333333333,0.6253124999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1486833333333333,0.8578035714285714,0.1498461538461538,0.948,0.1530227272727272,0.857125,0.1563888888888889,0.92696875,0.161,0.8560416666666667,0.9099107142857144,101.5,0.5127784503228686,-0.0133629853201469,0.171272199470707,15.0,2.1944444444444446,0.8891877976190476,0.5686723214285714,3.3333333333333333e-06,0.0,0.568668988095238,1.1264792642513535e-69,0.6922222222222223,resonant phase-memory,0.012390369637004748
3.865,0.1253,1.5772837683769112e-05,0.0,1.5772837683769112e-05,0.5557622448384949,0.0,0.0001833333333333,0.491625,0.0004038461538461,0.7597916666666666,0.0002727272727272,0.4565,0.0005,0.68096875,0.0004642857142857,0.39175,0.6318303571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1535666666666666,0.8530892857142858,0.1598653846153846,0.9409791666666668,0.1664545454545454,0.83775,0.1749444444444444,0.914875,0.1875714285714285,0.8159166666666666,0.8972321428571428,400.0,0.5742287368359494,-0.071951001551453,0.1719402147897559,42.0,101.5,0.8725220238095238,0.5561270833333334,0.00036483849483846,0.0,0.5557622448384949,2.845454684430309e-69,0.7453611111111111,resonant phase-memory,0.03824429710107558
3.865,0.1307,1.412680870150198e-05,0.0,1.412680870150198e-05,0.6985470833333334,0.0,1.6666666666666667e-05,0.577375,0.0,0.923375,0.0,0.568075,0.0,0.88721875,0.0,0.5367083333333333,0.858125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1357,0.8672678571428571,0.1362307692307692,0.9824375,0.1372954545454545,0.8669,0.1393888888888889,0.97471875,0.1430714285714285,0.8600833333333333,0.9676339285714286,300.5,0.4901051761960051,-0.046599680479803,0.1533560999689313,8.0,101.72463768115942,0.910281488095238,0.6985504166666667,3.3333333333333333e-06,0.0,0.6985470833333334,2.5564081270201236e-127,0.7577777777777777,resonant phase-memory,0.006948529286273643
3.865,0.136,1.7967473027597997e-05,0.0,1.7967473027597997e-05,0.6482644444444444,0.0,0.0,0.531875,0.0,0.8854166666666666,0.0,0.5096,2.777777777777778e-05,0.83125,0.0,0.4832083333333333,0.7942857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1372166666666666,0.8669464285714286,0.1405961538461538,0.9736875,0.1443636363636363,0.8596,0.1488611111111111,0.9579375,0.1529642857142857,0.8528333333333333,0.948125,202.0,0.4849622168670527,-0.0575343823099136,0.1670251849289565,35.0,201.5,0.9022009523809522,0.64827,5.555555555555556e-06,0.0,0.6482644444444444,2.1156485600083286e-131,0.7681388888888889,resonant phase-memory,0.03092249047423183
3.8717,0.103,1.006226732860645e-06,0.0,1.006226732860645e-06,0.249669129065379,0.0,0.0005833333333333,0.3085178571428571,0.0011153846153846,0.253375,0.0014545454545454,0.2338,0.0017222222222222,0.24846875,0.0046071428571428,0.2136666666666666,0.2125446428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23585,0.8126428571428571,0.2516538461538462,0.786875,0.2696590909090909,0.7699,0.2822777777777778,0.7635625,0.3018571428571428,0.7451666666666666,0.7407589285714286,151.85185185185185,0.7894339769038076,-0.0196832143968812,0.31246687150685,17.0,2.883464943766451,0.7756294047619048,0.2515656547619048,0.0018965256965256603,0.0,0.24966912906537914,0.050061363602241005,0.17259444837322582,ordinary frame persistence,0.11639573735950032
3.8717,0.1083,1.5396030327671082e-05,7.571530974362144e-06,7.824499353308937e-06,0.362674986957487,0.065542869047619,0.0006666666666666,0.4164464285714285,0.001076923076923,0.384125,0.0015681818181818,0.352525,0.0020555555555555,0.3416875,0.005,0.3289583333333333,0.3284821428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1941,0.8432678571428571,0.2134038461538461,0.8263125,0.2323181818181818,0.80125,0.2473333333333333,0.7896875,0.2537857142857143,0.7811666666666667,0.7800446428571428,350.0,0.839523937530382,-0.0361193171633624,0.2096257361369518,14.0,101.83400934885633,0.8083369047619048,0.3647484523809523,0.00207346542346538,0.0,0.36267498695748696,0.28857589984412996,0.3346608864791718,resonant phase-memory,0.009207619302074197
3.8717,0.1137,2.1972100837500106e-05,1.0986050418750053e-05,1.0986050418750053e-05,0.4180888542013542,0.0836554047619047,0.00015,0.4899642857142857,0.000326923076923,0.4493958333333333,9.09090909090909e-05,0.41465,0.0001944444444444,0.377375,0.0001785714285714,0.36,0.3586160714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1595,0.8721071428571429,0.174576923076923,0.8551041666666667,0.1883863636363636,0.8389249999999999,0.2013888888888889,0.82365625,0.2181428571428571,0.8122083333333333,0.8102678571428572,233.83333333333331,0.7282670961514467,-0.0664200354333211,0.1697241338704347,26.0,201.00251256281408,0.8404001785714286,0.4182770238095238,0.0001881696081695782,0.0,0.4180888542013542,0.34411045306677,0.4486054276946334,resonant phase-memory,0.01952978358827485
3.8717,0.119,1.222309396890397e-05,0.0,1.222309396890397e-05,0.4647893532856033,0.0,5e-05,0.3861607142857142,9.615384615384615e-05,0.6163125,9.09090909090909e-05,0.372975,0.0002777777777777,0.57353125,0.0003928571428571,0.375875,0.541875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1680166666666666,0.8431785714285714,0.1745192307692307,0.9156875,0.1794772727272727,0.8374,0.1835277777777778,0.89896875,0.1868928571428571,0.8341666666666667,0.8840178571428572,101.5,0.647634237687738,-0.01081170556117,0.1896924331406192,17.0,101.5,0.8658802976190476,0.4649708928571429,0.0001815395715395474,0.0,0.46478935328560333,2.611517872061323e-52,0.6087500000000001,resonant phase-memory,0.014701863661449759
