r,epsilon,seed,motif_size,frame_even,frame_odd,motif_even,motif_odd,comp_even,comp_odd,parity,smooth,resonance,wall_spectral_entropy,max_cluster_lifetime,atlas_score,class,motif_25,frame_25,comp_25,motif_50,frame_50,comp_50,motif_75,frame_75,comp_75,motif_100,frame_100,comp_100,motif_125,frame_125,comp_125,motif_150,frame_150,comp_150,motif_175,frame_175,comp_175,motif_200,frame_200,comp_200,motif_225,frame_225,comp_225,motif_250,frame_250,comp_250
3.855,0.127,707,4,0.8921538192989807,0.14773181427989135,0.724431608378181,0.001217521795499767,5.148883374689827e-05,0.5757822544678689,0.7232140865826813,1.2476842274958525e-46,0.6867890442890443,0.43824130286320195,3,0.02068430645641075,resonant phase-memory,0.001791044776119403,0.1341044776119403,0.6067164179104477,0.6689516129032258,0.8707258064516129,0.00016129032258064516,0.0012280701754385965,0.13921052631578948,0.5933333333333334,0.8733653846153846,0.95625,9.615384615384615e-05,0.001702127659574468,0.1448936170212766,0.5806382978723404,0.6411904761904762,0.858452380952381,0.0,0.0008108108108108108,0.1537837837837838,0.5622972972972973,0.84546875,0.94375,0.0,0.0005555555555555556,0.16666666666666666,0.5359259259259259,0.5931818181818181,0.831590909090909,0.0
3.855,0.127,707,6,0.8921538192989807,0.14773181427989135,0.6437226026661511,1.4925373134328359e-05,0.0,0.47080041927906746,0.6437076772930168,1.6607604686822376e-76,0.7289568764568763,0.43824130286320195,3,0.01831481624055616,resonant phase-memory,7.462686567164179e-05,0.1341044776119403,0.5041044776119403,0.5684677419354839,0.8707258064516129,0.0,0.0,0.13921052631578948,0.48947368421052634,0.8304807692307692,0.95625,0.0,0.0,0.1448936170212766,0.47404255319148936,0.5376190476190477,0.858452380952381,0.0,0.0,0.1537837837837838,0.4552702702702703,0.795,0.94375,0.0,0.0,0.16666666666666666,0.4311111111111111,0.48704545454545456,0.831590909090909,0.0
3.855,0.1295,101,4,0.8962718393837346,0.1535983476414858,0.7084710491121781,0.00073481577715169,0.0,0.5062070777969894,0.7077362333350263,5.135084049196786e-63,0.6733508158508159,0.7288155730296463,0,0.0,resonant phase-memory,0.0007462686567164179,0.15029850746268655,0.5138805970149254,0.6225806451612903,0.8579032258064516,0.0,0.0007017543859649122,0.1513157894736842,0.5097368421052632,0.8679807692307693,0.9601923076923077,0.0,0.00031914893617021275,0.15425531914893617,0.507127659574468,0.6082142857142857,0.8552380952380952,0.0,0.0013513513513513514,0.15527027027027027,0.5012162162162163,0.835625,0.94984375,0.0,0.0005555555555555556,0.15685185185185185,0.49907407407407406,0.6079545454545454,0.8581818181818182,0.0
3.855,0.1295,101,6,0.8962718393837346,0.1535983476414858,0.6274119002637147,1.4925373134328359e-05,0.0,0.3650585277159294,0.6273969748905804,2.87345493635969e-85,0.7018822843822843,0.7288155730296463,0,0.0,resonant phase-memory,7.462686567164179e-05,0.15029850746268655,0.3724626865671642,0.5262903225806451,0.8579032258064516,0.0,0.0,0.1513157894736842,0.3686842105263158,0.8150961538461539,0.9601923076923077,0.0,0.0,0.15425531914893617,0.36638297872340425,0.5126190476190476,0.8552380952380952,0.0,0.0,0.15527027027027027,0.3605405405405405,0.77078125,0.94984375,0.0,0.0,0.15685185185185185,0.3572222222222222,0.5122727272727273,0.8581818181818182,0.0
3.855,0.1295,707,4,0.9015860282190926,0.1553716182797094,0.7466253568340262,0.0005956003470502642,0.0,0.525396298054669,0.7460297564869759,2.210291231354081e-92,0.6929261363636363,0.34684623082208377,1,0.006354155098982291,resonant phase-memory,0.0005970149253731343,0.15567164179104478,0.5256716417910448,0.6308870967741935,0.8512903225806452,0.0,0.0007017543859649122,0.15517543859649122,0.5249122807017544,0.9163461538461538,0.9751923076923077,0.0,0.0002127659574468085,0.155,0.5246808510638298,0.6355952380952381,0.8530952380952381,0.0,0.0005405405405405405,0.15527027027027027,0.5248648648648648,0.91984375,0.975625,0.0,0.000925925925925926,0.15574074074074074,0.5268518518518519,0.6304545454545455,0.8527272727272728,0.0
3.855,0.1295,707,6,0.9015860282190926,0.1553716182797094,0.6635214949700836,1.7543859649122806e-05,0.0,0.41957174218894727,0.6635039511104345,9.659319958554486e-155,0.7485047043010753,0.34684623082208377,1,0.006083311049704423,resonant phase-memory,0.0,0.15567164179104478,0.4205223880597015,0.5142741935483871,0.8512903225806452,0.0,8.771929824561403e-05,0.15517543859649122,0.41850877192982455,0.880576923076923,0.9751923076923077,0.0,0.0,0.155,0.4198936170212766,0.520952380952381,0.8530952380952381,0.0,0.0,0.15527027027027027,0.4183783783783784,0.88703125,0.975625,0.0,0.0,0.15574074074074074,0.42055555555555557,0.5147727272727273,0.8527272727272728,0.0
3.855,0.132,101,4,0.857166420608961,0.20704956531802146,0.5907402691394628,0.0034508678255899595,3.125e-05,0.39608356256174276,0.5872894013138727,3.5082167335215314e-30,0.6087570207570208,0.891437967219483,5,0.02892371885044394,resonant phase-memory,0.0033582089552238806,0.2064179104477612,0.39186567164179104,0.5288709677419355,0.8258064516129032,0.0,0.0033333333333333335,0.20692982456140352,0.39342105263157895,0.7070192307692308,0.9105769230769231,0.0,0.003936170212765958,0.2077659574468085,0.39382978723404255,0.518095238095238,0.8238095238095238,0.0,0.003108108108108108,0.20783783783783782,0.4014864864864865,0.670625,0.89609375,0.00015625,0.0035185185185185185,0.20629629629629628,0.3998148148148148,0.5290909090909091,0.8295454545454546,0.0
3.855,0.132,101,6,0.857166420608961,0.20704956531802146,0.4698349627523014,0.00022073374539487422,0.0,0.24524116182168026,0.4696142290069065,7.593976677514972e-40,0.5837973137973138,0.891437967219483,5,0.0120122374742896,resonant phase-memory,0.00029850746268656717,0.2064179104477612,0.24037313432835822,0.3992741935483871,0.8258064516129032,0.0,0.0003508771929824561,0.20692982456140352,0.24289473684210527,0.6019230769230769,0.9105769230769231,0.0,0.00031914893617021275,0.2077659574468085,0.245,0.3873809523809524,0.8238095238095238,0.0,0.00013513513513513514,0.20783783783783782,0.24756756756756756,0.5621875,0.89609375,0.0,0.0,0.20629629629629628,0.25037037037037035,0.39840909090909093,0.8295454545454546,0.0
3.855,0.132,707,4,0.8887248393407668,0.15493879614434178,0.7192268568125423,0.000831407362971268,0.00016813193526903203,0.5137633164076145,0.718395449449571,3.8449627994026795e-53,0.6735198135198135,0.5626032352091308,3,0.022214208979482335,resonant phase-memory,0.0008208955223880597,0.13902985074626867,0.5397761194029851,0.6537096774193548,0.8635483870967742,0.00024193548387096774,0.0008771929824561404,0.14780701754385964,0.5225438596491228,0.8684615384615385,0.9556730769230769,9.615384615384615e-05,0.0009574468085106382,0.1570212765957447,0.5104255319148936,0.6225,0.846547619047619,0.00011904761904761905,0.0009459459459459459,0.16324324324324324,0.5031081081081081,0.84328125,0.94171875,0.00015625,0.0005555555555555556,0.1675925925925926,0.49296296296296294,0.6081818181818182,0.8361363636363637,0.00022727272727272727
3.855,0.132,707,6,0.8887248393407668,0.15493879614434178,0.6433032622619317,4.4570886676149836e-05,0.0,0.3860795274557872,0.6432586913752555,7.298588609957149e-71,0.7032400932400933,0.5626032352091308,3,0.01942627367438349,resonant phase-memory,0.0,0.13902985074626867,0.41,0.5658870967741936,0.8635483870967742,0.0,8.771929824561403e-05,0.14780701754385964,0.39131578947368423,0.8182692307692307,0.9556730769230769,0.0,0.0,0.1570212765957447,0.381063829787234,0.5353571428571429,0.846547619047619,0.0,0.00013513513513513514,0.16324324324324324,0.37635135135135134,0.78359375,0.94171875,0.0,0.0,0.1675925925925926,0.37166666666666665,0.5134090909090909,0.8361363636363637,0.0
