r,epsilon,n,horizon,seed,sigma,motif_size,partition,threshold,motif_even,motif_odd,comp_even,parity
3.8625,0.132,320,1440,173,0.0,4,fixed_half,0.5,0.7928125,0.0,0.0,0.7928125
3.8625,0.132,320,1440,173,0.0,4,median,0.683475911617279,1.0,0.0,0.0,1.0
3.8625,0.132,320,1440,173,0.0,6,fixed_half,0.5,0.7309374999999999,0.0,0.0,0.7309374999999999
3.8625,0.132,320,1440,173,0.0,6,median,0.683475911617279,1.0,0.0,0.0,1.0
3.8625,0.132,320,1440,211,0.0,4,fixed_half,0.5,0.7946551598379447,0.00011354874754995793,1.9161213186829215e-05,0.7945416110903947
3.8625,0.132,320,1440,211,0.0,4,median,0.7240404486656189,0.9945750458228412,0.0,0.0,0.9945750458228412
3.8625,0.132,320,1440,211,0.0,6,fixed_half,0.5,0.730595854212625,6.946605218128518e-06,0.0,0.7305889076074068
3.8625,0.132,320,1440,211,0.0,6,median,0.7240404486656189,0.9925886895651331,0.0,0.0,0.9925886895651331
3.8625,0.132,320,1440,257,0.0,4,fixed_half,0.5,0.8042371449233763,7.942163877031579e-05,1.0300273074105672e-05,0.804157723284606
3.8625,0.132,320,1440,257,0.0,4,median,0.71849524974823,0.9950630382778849,0.0,0.0,0.9950630382778849
3.8625,0.132,320,1440,257,0.0,6,fixed_half,0.5,0.7443862337534648,1.7991431418993258e-06,0.0,0.7443844346103229
3.8625,0.132,320,1440,257,0.0,6,median,0.71849524974823,0.9929939774784622,0.0,0.0,0.9929939774784622
3.8625,0.132,320,1440,307,0.0,4,fixed_half,0.5,0.8422032671615526,2.869731218540832e-05,4.332741552724163e-06,0.8421745698493672
3.8625,0.132,320,1440,307,0.0,4,median,0.720892071723938,0.9978291692303248,0.0,0.0,0.9978291692303248
3.8625,0.132,320,1440,307,0.0,6,fixed_half,0.5,0.7882352819039562,0.0,0.0,0.7882352819039562
3.8625,0.132,320,1440,307,0.0,6,median,0.720892071723938,0.9969452862238031,0.0,0.0,0.9969452862238031
3.8625,0.132,320,1440,359,0.0,4,fixed_half,0.5,0.7900461661798499,4.5760974288902826e-05,1.716753612950518e-05,0.790000405205561
3.8625,0.132,320,1440,359,0.0,4,median,0.7287805080413818,0.9960829266523952,0.0,0.0,0.9960829266523952
3.8625,0.132,320,1440,359,0.0,6,fixed_half,0.5,0.7282042246835548,0.0,0.0,0.7282042246835548
