r,epsilon,n,horizon,seed,motif_size,topology,motif_even,motif_odd,comp_even,parity
3.8625,0.132,960,2880,73,4,rewired,0.6977294845802112,6.72724759507912e-05,0.0003264816484151354,0.6976622121042604
3.8625,0.132,960,2880,73,6,local,0.7453609440619411,7.427213309566251e-08,0.0,0.745360869789808
3.8625,0.132,960,2880,73,6,rewired,0.6112454695558028,0.0,0.0,0.6112454695558028
3.8625,0.132,960,2880,101,4,local,0.8039433389625461,2.211119224297856e-05,3.3486155562221523e-06,0.8039212277703032
3.8625,0.132,960,2880,101,4,rewired,0.7445346197314157,0.00026043560911103515,0.0,0.7442741841223046
3.8625,0.132,960,2880,101,6,local,0.7489742795022852,2.189141856392294e-07,0.0,0.7489740605880996
3.8625,0.132,960,2880,101,6,rewired,0.6620996534219887,0.0,0.0,0.6620996534219887
3.8625,0.132,960,2880,137,4,local,0.7912479478290836,2.7668065415647895e-05,1.0203506868335668e-05,0.7912202797636679
3.8625,0.132,960,2880,137,4,rewired,0.7056496033348318,8.475234713977921e-06,1.1739997117000703e-05,0.7056411281001179
3.8625,0.132,960,2880,137,6,local,0.7315974587590389,4.785242677987818e-06,1.1467814992508648e-06,0.7315926735163609
3.8625,0.132,960,2880,137,6,rewired,0.6169617716443607,0.0,0.0,0.6169617716443607
3.8625,0.132,960,2880,173,4,local,0.7926454994633738,1.89478657168228e-05,7.95978046314956e-06,0.792626551597657
3.8625,0.132,960,2880,173,4,rewired,0.7355339201579895,1.62831017188654e-05,8.214282064192717e-06,0.7355176370562706
3.8625,0.132,960,2880,173,6,local,0.7337771183693697,1.0580369052170774e-06,6.136499481391628e-07,0.7337760603324645
3.8625,0.132,960,2880,173,6,rewired,0.6513461210714463,0.0,0.0,0.6513461210714463
3.8625,0.132,960,2880,211,4,local,0.8123706725826988,2.5395637873055452e-05,2.994363172991981e-06,0.8123452769448257
3.8625,0.132,960,2880,211,4,rewired,0.7192172577254315,0.0010765619442677185,0.0003330587796950035,0.7181406957811638
3.8625,0.132,960,2880,211,6,local,0.7556975322131085,1.3099244607909921e-06,0.0,0.7556962222886477
3.8625,0.132,960,2880,211,6,rewired,0.631172125897867,0.0,0.0,0.631172125897867
3.8625,0.132,960,2880,257,4,local,0.8131592447353597,3.7242704491133324e-05,3.8042988633999943e-06,0.8131220020308686
3.8625,0.132,960,2880,257,4,rewired,0.7583090825043289,3.688447177895738e-06,0.0,0.758305394057151
3.8625,0.132,960,2880,257,6,local,0.758354512075044,1.3468691166074784e-06,0.0,0.7583531652059274
3.8625,0.132,960,2880,257,6,rewired,0.6743674468268843,0.0,0.0,0.6743674468268843
