r,epsilon,n,horizon,seed,sigma,motif_size,motif_even,motif_odd,comp_even,parity
3.8625,0.132,320,1440,257,0.01,4,0.7100485363685539,8.446811757508337e-05,1.0283495451427695e-05,0.7099640682509788
3.8625,0.132,320,1440,257,0.01,6,0.6120673086480547,1.3574470288251207e-06,0.0,0.6120659512010259
3.8625,0.132,320,1440,307,0.01,4,0.7383883279902685,2.8537410546676192e-05,4.353919378693261e-06,0.7383597905797219
3.8625,0.132,320,1440,307,0.01,6,0.6425717119872049,0.0,0.0,0.6425717119872049
3.8625,0.132,320,1440,359,0.01,4,0.6754649072369409,5.0971045837680396e-05,1.6195444269057317e-05,0.6754139361911031
3.8625,0.132,320,1440,359,0.01,6,0.5685912030310527,0.0,0.0,0.5685912030310527
3.8625,0.132,320,1440,401,0.01,4,0.7164003625616235,8.172542422931682e-06,0.0,0.7163921900192006
3.8625,0.132,320,1440,401,0.01,6,0.6130972420393237,0.0,0.0,0.6130972420393237
3.8625,0.132,320,1440,457,0.01,4,0.7183128528750095,2.1043581650907196e-05,3.4046470361500806e-06,0.7182918092933586
3.8625,0.132,320,1440,457,0.01,6,0.620924909965392,2.435706213649308e-06,0.0,0.6209224742591783
3.8625,0.132,320,1440,17,0.03,4,0.48181348654209877,0.0005052503152393262,1.815636615420486e-05,0.4813082362268594
3.8625,0.132,320,1440,17,0.03,6,0.33859626820083905,2.3043344574918968e-05,0.0,0.3385732248562641
3.8625,0.132,320,1440,42,0.03,4,0.48618080107235145,0.00025618993045623515,0.0,0.4859246111418952
3.8625,0.132,320,1440,42,0.03,6,0.33989800722701097,1.941635067404249e-06,0.0,0.3398960655919436
3.8625,0.132,320,1440,73,0.03,4,0.48579171920804665,0.000475437329107036,2.4936159394372453e-05,0.4853162818789396
3.8625,0.132,320,1440,73,0.03,6,0.3415544633200419,1.3902214507208613e-05,0.0,0.3415405611055347
3.8625,0.132,320,1440,101,0.03,4,0.48474660838177874,0.0003131491267593709,0.0,0.48443345925501935
3.8625,0.132,320,1440,101,0.03,6,0.34066913218175976,6.308495975584924e-06,0.0,0.34066282368578416
3.8625,0.132,320,1440,137,0.03,4,0.4939413342509577,0.0004804354501309071,6.70814525573219e-05,0.4934608988008268
3.8625,0.132,320,1440,137,0.03,6,0.34959425470505734,4.540436773372283e-05,1.0105975669309864e-05,0.34954885033732364
3.8625,0.132,320,1440,173,0.03,4,0.47556909051825275,0.00024536249798050546,0.0,0.47532372802027223
3.8625,0.132,320,1440,173,0.03,6,0.3296059958255991,3.3944122492457276e-06,0.0,0.32960260141334985
3.8625,0.132,320,1440,211,0.03,4,0.4727174115764283,0.0004158101437185797,2.3054590484339342e-05,0.47230160143270977
3.8625,0.132,320,1440,211,0.03,6,0.3278222487268527,1.5502583822792758e-05,0.0,0.32780674614302996
3.8625,0.132,320,1440,257,0.03,4,0.48441905507387106,0.0003620107691317582,6.841050296175534e-06,0.4840570443047393
3.8625,0.132,320,1440,257,0.03,6,0.3391280947273502,9.105945980479588e-06,0.0,0.33911898878136976
3.8625,0.132,320,1440,307,0.03,4,0.4955106278760474,0.0002879518284242174,4.782381840493948e-06,0.49522267604762316
3.8625,0.132,320,1440,307,0.03,6,0.3503307316284765,2.456038359585319e-06,0.0,0.3503282755901169
3.8625,0.132,320,1440,359,0.03,4,0.47182945156382905,0.00032871260765960107,1.721100860086332e-05,0.47150073895616945
3.8625,0.132,320,1440,359,0.03,6,0.3280053799863505,6.267831683712901e-06,0.0,0.32799911215466676
3.8625,0.132,320,1440,401,0.03,4,0.48503618308467206,0.00026753073259579185,0.0,0.4847686523520763
3.8625,0.132,320,1440,401,0.03,6,0.33880339140465293,3.230527718257262e-06,0.0,0.33880016087693465
3.8625,0.132,320,1440,457,0.03,4,0.48948120633489234,0.0002964085878891842,4.9590994622818236e-06,0.48918479774700313
3.8625,0.132,320,1440,457,0.03,6,0.34443015041761627,4.825796825603664e-06,0.0,0.3444253246207907
3.8625,0.132,320,1440,17,0.05,4,0.36993630447061293,0.00283514118636307,1.6253898666246143e-05,0.36710116328424985
3.8625,0.132,320,1440,17,0.05,6,0.22604375859768008,0.00015801214530703544,5.040322580645161e-07,0.22588574645237305
3.8625,0.132,320,1440,42,0.05,4,0.37023810492997244,0.002508612494106167,0.0,0.3677294924358663
3.8625,0.132,320,1440,42,0.05,6,0.22464774133845813,0.00011228441223906538,0.0,0.22453545692621907
3.8625,0.132,320,1440,73,0.05,4,0.3676065653246393,0.0029775098065381506,2.3776336896871126e-05,0.36462905551810115
3.8625,0.132,320,1440,73,0.05,6,0.22328345612956885,0.0001497201009164734,0.0,0.22313373602865239
3.8625,0.132,320,1440,101,0.05,4,0.3699082959500445,0.0026881140440233866,4.4964028776978415e-07,0.3672201819060211
3.8625,0.132,320,1440,101,0.05,6,0.22533322242960935,0.00012862697298917617,0.0,0.22520459545662017
3.8625,0.132,320,1440,137,0.05,4,0.37001628052028834,0.0030265397073859705,4.342286066180077e-05,0.36698974081290237
3.8625,0.132,320,1440,137,0.05,6,0.2255602770113144,0.0001864777864284219,3.4382022815060345e-06,0.22537379922488598
3.8625,0.132,320,1440,173,0.05,4,0.36852361876222456,0.0024508886338164048,0.0,0.36607273012840813
3.8625,0.132,320,1440,173,0.05,6,0.22354992934973522,0.00011547849833545769,0.0,0.22343445085139976
3.8625,0.132,320,1440,211,0.05,4,0.3653697663401672,0.0026893629560215465,3.537311500769073e-05,0.36268040338414564
3.8625,0.132,320,1440,211,0.05,6,0.22138847773249962,0.00011929834948607888,0.0,0.22126917938301355
3.8625,0.132,320,1440,257,0.05,4,0.36862540643094543,0.0027325286744564305,1.3137511703828937e-05,0.365892877756489
3.8625,0.132,320,1440,257,0.05,6,0.22358606366365857,0.00013491954220181548,0.0,0.22345114412145675
3.8625,0.132,320,1440,307,0.05,4,0.37068758071355046,0.002684854274208154,5.9052721924391535e-06,0.3680027264393423
3.8625,0.132,320,1440,307,0.05,6,0.22613467635641848,0.00013017398051347014,0.0,0.22600450237590503
3.8625,0.132,320,1440,359,0.05,4,0.3691481350813584,0.0024657504284500307,1.8576182214335003e-05,0.36668238465290837
3.8625,0.132,320,1440,359,0.05,6,0.2253629652420388,0.00011734818422838805,0.0,0.2252456170578104
3.8625,0.132,320,1440,401,0.05,4,0.3694488055620573,0.0025947769637164183,0.0,0.3668540285983409
3.8625,0.132,320,1440,401,0.05,6,0.22458714814296724,0.00011506782899628805,0.0,0.22447208031397095
3.8625,0.132,320,1440,457,0.05,4,0.3691565409522934,0.002699339344156507,1.383776699570576e-06,0.3664572016081369
3.8625,0.132,320,1440,457,0.05,6,0.22414369649225313,0.00012166965911599047,0.0,0.22402202683313713
