r,epsilon,domain_wall_density,mean_wall_velocity,median_wall_velocity,lag1_similarity,lag5_similarity,lag10_similarity,lag20_similarity,motif_simpson,motif_entropy,motif_count,slow_domain_wall_score
3.4499999999999997,0.9166666666666666,0.03333333333333333,3.1690647482014387,3.0,0.10563549160671465,0.10555555555555554,0.9993589743589745,0.998611111111111,0.38538185941043085,1.8215828646520558,11,4.107527594023314e-12
3.4499999999999997,1.0,0.48333333333333334,0.8504020313161235,0.5,0.5,0.5,1.0,1.0,0.15277777777777782,3.26491389964691,20,0.0019645000399719803
3.5,0.0,0.35833333333333334,1.4120340091563113,1.5,0.4997601918465228,0.4997530864197531,0.5,1.0,0.11076388888888888,3.9619339916936918,32,8.821700735502008e-05
3.5,0.08333333333333333,0.24166666666666667,1.337250199840128,2.2222222222222223,0.18321342925659467,0.18320987654320983,0.9833333333333334,1.0,0.09256944444444443,3.8502698250755745,21,3.648747645200209e-05
3.5,0.16666666666666666,0.1407142857142857,2.6844124700239806,2.5,0.31462829736211034,0.3146913580246914,0.7861538461538461,0.9979166666666667,0.19990612244897957,3.1166281039325954,23,2.1884232930130163e-09
3.5,0.25,0.125,2.5926258992805757,2.75,0.30767386091127097,0.30765432098765433,0.8916666666666666,1.0,0.21871527777777777,3.0005206362041927,19,2.4254383957911807e-09
3.5,0.3333333333333333,0.11666666666666667,2.328537170263789,2.0,0.3881294964028777,0.3881481481481481,0.8033333333333333,0.9993055555555554,0.24665833333333334,2.7743918406573793,13,3.3836150392833785e-08
3.5,0.41666666666666663,0.11285714285714285,2.612410071942446,2.1666666666666665,0.29508393285371703,0.29530864197530865,0.9175641025641026,0.9909722222222221,0.22548710317460322,2.8410283665650686,16,1.5631073232121485e-09
3.5,0.5,0.09166666666666666,3.8708033573141494,3.0,0.2633093525179856,0.2633333333333334,0.9034615384615384,0.9993055555555556,0.2580867346938775,2.6123308388727913,12,6.23747596882155e-14
3.5,0.5833333333333333,0.02023809523809524,,,0.28393285371702637,0.2844444444444445,0.7151282051282052,0.9891666666666666,0.4650231292517007,1.5027121522843776,13,0.0
3.5,0.6666666666666666,0.05,5.863309352517986,3.5,0.3172661870503597,0.3172839506172839,0.7666666666666666,1.0,0.3751388888888888,2.0289862236361995,10,1.2070432384125721e-20
3.5,0.75,0.041666666666666664,3.6924460431654675,3.0,0.4357314148681055,0.4358024691358025,0.6666666666666666,1.0,0.44750000000000006,1.8025347231788964,11,5.228320691590096e-13
3.5,0.8333333333333333,0.008333333333333333,,,0.3189448441247002,0.3190123456790123,0.6833333333333335,1.0,0.5175,1.2012801775323914,10,0.0
3.5,0.9166666666666666,0.05,6.7140287769784175,4.0,0.3440047961630696,0.34395061728395065,0.7734615384615384,0.9993055555555554,0.39057777777777775,1.9994355405473803,12,1.3662120560418513e-23
3.5,1.0,0.3488095238095238,2.656170767681559,2.5625,0.499400479616307,0.4993827160493827,0.8820512820512821,0.9972222222222221,0.16602859977324264,3.575670224160312,26,3.9336357689869975e-09
3.55,0.0,0.30833333333333335,2.45603517186251,2.75,0.49844124700239806,0.49839506172839504,0.5,1.0,0.14513888888888887,3.837508119820241,29,2.1145666053547367e-08
3.55,0.08333333333333333,0.4166666666666667,0.25939048960631694,0.23076923076923078,0.21354916067146285,0.2134567901234568,0.7874358974358975,0.9958333333333332,0.0506609693877551,4.580011769678854,30,0.14452847386403278
3.55,0.16666666666666666,0.125,3.0530575539568345,1.0,0.44304556354916064,0.4430864197530864,0.5583333333333335,1.0,0.2687847222222222,2.825827028722799,16,1.1856679112575123e-10
3.55,0.25,0.16666666666666666,3.7704693388146624,2.5,0.5177458033573141,0.5176543209876543,0.8161538461538461,0.9995833333333334,0.22073588435374145,3.101931407901902,18,4.77564763337489e-13
3.55,0.3333333333333333,0.14166666666666666,3.1456834532374103,2.25,0.4850119904076738,0.4850617283950616,0.7166666666666667,1.0,0.2513888888888889,2.7920835961104116,14,8.013502950630919e-11
3.55,0.41666666666666663,0.16666666666666666,2.942026378896883,2.3,0.4335731414868105,0.4335802469135802,0.8306410256410257,0.9929166666666666,0.19157959183673468,3.239260678954782,20,3.033744875713731e-10
3.55,0.5,0.06666666666666667,4.75,4.75,0.4264988009592326,0.42654320987654315,0.6416666666666666,1.0,0.3877083333333334,2.181203924339145,17,1.2889411517063328e-16
3.55,0.5833333333333333,0.11928571428571429,2.751678657074341,2.6666666666666665,0.46702637889688253,0.46691358024691354,0.7679487179487179,0.9937499999999999,0.274866581632653,2.781778827987507,19,1.459210814586172e-09
3.55,0.6666666666666666,0.016666666666666666,,,0.4356115107913669,0.435679012345679,0.5666666666666665,1.0,0.53,1.3358407435506972,10,0.0
3.55,0.75,0.016666666666666666,,,0.42949640287769786,0.4296296296296297,0.5708974358974359,0.9958333333333332,0.5281520408163267,1.3389312398084594,10,0.0
3.55,0.8333333333333333,0.09166666666666666,3.8285371702637896,3.6666666666666665,0.4750599520383693,0.47506172839506167,0.725,1.0,0.3434722222222222,2.4351609443248297,16,2.5246713779293674e-13
3.55,0.9166666666666666,0.058333333333333334,5.411270983213429,4.0,0.4178657074340527,0.41790123456790124,0.6833333333333335,1.0,0.4005555555555556,2.0912633477274194,17,6.1857585610531035e-19
