r,epsilon,order,entropy,sensitivity,domain_wall_density,largest_cluster_fraction,cluster_count,autocorrelation_length,motif_lifetime_proxy,structure_score,sensitivity_corrected,structure_score_corrected
3.9,0.9,0.6415462504522301,0.7703382080129282,244031510.59940252,0.1902222222222222,0.3319444444444444,6.848,3.288,0.0,23374880.323882,0.9999967349446144,0.09578600708649769
3.91,0.65,0.6324779278065453,0.7781012146410319,252353642.300122,0.1383333333333333,0.3113333333333333,4.98,2.832,0.0,20624506.71333962,0.99999676330527,0.0817283228810265
3.91,0.675,0.6305935625344866,0.7814506517091567,246952164.6691237,0.1405555555555555,0.3256111111111111,5.06,2.852,0.0,20278735.24649265,0.9999967446991,0.08211577841513441
3.91,0.7000000000000001,0.6344300806581127,0.7860779019631955,255897712.77923745,0.1486666666666667,0.3036111111111111,5.352,2.68,0.0,21427262.89649695,0.9999967828775672,0.08373343290041058
3.91,0.7250000000000001,0.6314005983884444,0.7834666279516214,245409389.5001169,0.1262222222222222,0.341,4.544,3.164,0.0,20221022.65021053,0.9999967234887897,0.08239683264357535
3.91,0.75,0.6327644800355261,0.7732391832208964,262696045.6949957,0.1198888888888888,0.3565,4.316,3.264,0.0,21422271.78885388,0.9999968223503664,0.08154749212042618
3.91,0.775,0.6370605575764549,0.7685124867670186,255566018.35225472,0.1248888888888888,0.3395555555555555,4.496,3.044,0.0,20857617.48131416,0.9999968318668231,0.0816131641291042
3.91,0.8,0.6325329659912517,0.7956003805285806,252781031.38077065,0.1373333333333333,0.3178888888888889,4.944,2.888,0.0,21190306.92525824,0.999996804206485,0.08382843874662962
3.91,0.8250000000000001,0.6348338841180683,0.7869786436795237,254544035.72846892,0.1444444444444444,0.2990555555555555,5.2,2.74,0.0,21277742.888727576,0.9999967478561769,0.08359132685845017
3.91,0.8500000000000001,0.6384863100874837,0.7786100189741898,256931958.03104785,0.1278888888888888,0.3365,4.604,3.12,0.0,21555983.234604537,0.9999967037261024,0.08389735689312275
3.91,0.875,0.6323108357406748,0.7911614972264004,249655899.35450143,0.1478888888888888,0.3153333333333333,5.324,3.124,0.0,21521575.50712733,0.9999968017610812,0.08620467904676772
3.91,0.9,0.6302811743913369,0.7926145227300119,251844175.02717277,0.189,0.309611111111111,6.804,3.16,0.0,23479799.61869109,0.9999966514176173,0.09323114577541608
