r,epsilon,n,horizon,seed,motif_size,frame_even,frame_odd,motif_even,motif_odd,comp_even,parity,wall_spectral_entropy,max_cluster_lifetime,atlas_score
3.8625,0,60,360,1313,6,0.5217254582335228,0.5238546433760843,0.020045740102191716,0.020062805095881594,0.01131022069328521,0.0,0.9144763853811936,6,0.0
3.8625,0,60,720,101,4,0.5224247817053509,0.516466983704949,0.07403654219632519,0.0715398472302754,0.051753501167568126,0.0024966949660497895,0.9136274347217677,9,0.0
3.8625,0,60,720,101,6,0.5224247817053509,0.516466983704949,0.020176076771648652,0.01922392437016539,0.011942237131231832,0.0009521524014832611,0.9136274347217677,9,0.0
3.8625,0,60,720,707,4,0.5247771004817692,0.5221461065319067,0.07603604745084833,0.07516363950381218,0.050791578804884566,0.0008724079470361495,0.9190081544512887,8,0.0
3.8625,0,60,720,707,6,0.5247771004817692,0.5221461065319067,0.020606124711753014,0.020982982672577997,0.010909227557675929,0.0,0.9190081544512887,8,0.0
3.8625,0,60,720,1313,4,0.523945834232325,0.5202406485223534,0.07529715944188484,0.07246415682430427,0.05179374544314892,0.002833002617580571,0.9238736311282975,11,0.0
3.8625,0,60,720,1313,6,0.523945834232325,0.5202406485223534,0.020120248980681675,0.01974789227979127,0.011862074750368578,0.0003723567008904055,0.9238736311282975,11,0.0
3.8625,0,80,360,101,4,0.5180133953747865,0.5163179259886986,0.07081781038182247,0.07109124118854024,0.05347266762135713,0.0,0.8879570101684832,9,0.0
3.8625,0,80,360,101,6,0.5180133953747865,0.5163179259886986,0.018644604555390847,0.018613600087025235,0.01254749601876618,3.1004468365611326e-05,0.8879570101684832,9,0.0
3.8625,0,80,360,707,4,0.5247790460547517,0.5232653517199907,0.07476757936284147,0.07574105523182925,0.05042500258478081,0.0,0.9262891585090666,5,0.0
3.8625,0,80,360,707,6,0.5247790460547517,0.5232653517199907,0.020439529556465042,0.020996178717869816,0.011346187246892892,0.0,0.9262891585090666,5,0.0
3.8625,0,80,360,1313,4,0.5216632720438164,0.5219037820558604,0.07401202174841288,0.07410619757997372,0.0519589729826625,0.0,0.9100332244442532,7,0.0
3.8625,0,80,360,1313,6,0.5216632720438164,0.5219037820558604,0.019361855382520703,0.01996439987646887,0.011522976183762473,0.0,0.9100332244442532,7,0.0
3.8625,0,80,720,101,4,0.5217658457790588,0.517239622795602,0.07344478729853354,0.07181682844358914,0.05187509796168499,0.0016279588549444057,0.9126415396426502,9,0.0
3.8625,0,80,720,101,6,0.5217658457790588,0.517239622795602,0.019643684561425075,0.019250920575531214,0.01199790787458427,0.00039276398589386044,0.9126415396426502,9,0.0
