r,epsilon,n,horizon,seed,sigma,motif_size,quantile,threshold,motif_even,motif_odd,comp_even,parity
3.8625,0.132,320,1440,307,0.0,4,0.25,0.4659312963485718,0.4109494449054522,0.019183234246016874,5.3229116267552755e-06,0.39176621065943534
3.8625,0.132,320,1440,307,0.0,4,0.5,0.720892071723938,0.9978291692303248,0.0,0.0,0.9978291692303248
3.8625,0.132,320,1440,307,0.0,4,0.75,0.8858337998390198,0.4015545048693275,0.0028480320330910866,2.4253964610555623e-06,0.3987064728362364
3.8625,0.132,320,1440,307,0.0,6,0.25,0.4659312963485718,0.39982355505111455,0.009434746495410387,0.0,0.3903888085557042
3.8625,0.132,320,1440,307,0.0,6,0.5,0.720892071723938,0.9969452862238031,0.0,0.0,0.9969452862238031
3.8625,0.132,320,1440,307,0.0,6,0.75,0.8858337998390198,0.3960512409108868,7.723973004820856e-05,0.0,0.3959740011808386
3.8625,0.132,320,1440,359,0.0,4,0.25,0.4658932089805603,0.4181290356675059,0.017786552513303015,2.209797565566419e-05,0.4003424831542029
3.8625,0.132,320,1440,359,0.0,4,0.5,0.7287805080413818,0.9960829266523952,0.0,0.0,0.9960829266523952
3.8625,0.132,320,1440,359,0.0,4,0.75,0.8858336806297302,0.40863129708865287,0.000626682687420418,1.7381841656969476e-05,0.4080046144012324
3.8625,0.132,320,1440,359,0.0,6,0.25,0.4658932089805603,0.4021507561651466,0.010993328629860622,0.0,0.391157427535286
3.8625,0.132,320,1440,359,0.0,6,0.5,0.7287805080413818,0.9944594861793364,0.0,0.0,0.9944594861793364
3.8625,0.132,320,1440,359,0.0,6,0.75,0.8858336806297302,0.39637746491017556,7.108984266576599e-05,0.0,0.3963063750675098
3.8625,0.132,320,1440,401,0.0,4,0.25,0.4659278094768524,0.3983874220071898,0.00032707203380305554,5.252100840336135e-07,0.39806034997338674
3.8625,0.132,320,1440,401,0.0,4,0.5,0.7111912965774536,0.999462478847055,0.0,0.0,0.999462478847055
3.8625,0.132,320,1440,401,0.0,4,0.75,0.8858351111412048,0.3984663059262744,0.0003657782845503929,5.252100840336135e-07,0.39810052764172404
3.8625,0.132,320,1440,401,0.0,6,0.25,0.4659278094768524,0.39692932723163554,3.5553478553090476e-05,0.0,0.39689377375308244
3.8625,0.132,320,1440,401,0.0,6,0.5,0.7111912965774536,0.9992243587739488,0.0,0.0,0.9992243587739488
3.8625,0.132,320,1440,401,0.0,6,0.75,0.8858351111412048,0.397037577027018,3.915161894339988e-05,0.0,0.39699842540807456
3.8625,0.132,320,1440,457,0.0,4,0.25,0.46592822670936584,0.40034631974163837,0.00028215238762051265,3.3078994139171533e-06,0.40006416735401784
3.8625,0.132,320,1440,457,0.0,4,0.5,0.7231712341308594,0.9984966603446018,0.0,0.0,0.9984966603446018
3.8625,0.132,320,1440,457,0.0,4,0.75,0.8858345150947571,0.4003243935607216,0.00029807851805449233,3.2911217912391768e-06,0.4000263150426671
3.8625,0.132,320,1440,457,0.0,6,0.25,0.46592822670936584,0.3970750153064692,2.9705264920724607e-05,0.0,0.39704531004154847
3.8625,0.132,320,1440,457,0.0,6,0.5,0.7231712341308594,0.9978321585295975,0.0,0.0,0.9978321585295975
3.8625,0.132,320,1440,457,0.0,6,0.75,0.8858345150947571,0.39706935527075055,3.8380213928289995e-05,0.0,0.3970309750568223
3.8625,0.132,320,1440,17,0.001,4,0.25,0.4656274914741516,0.3462767285588541,0.014384027497654517,1.0428071600846297e-05,0.3318927010611996
3.8625,0.132,320,1440,17,0.001,4,0.5,0.7234944105148315,0.9920450873010289,0.0,2.6978417266187052e-06,0.9920450873010289
